,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010205539055289646
14,Financing cash outflow,Desalination,0.0007772671120488218
15,Operating Expenses,Desalination Fixed O&M Cost,0.00343170495174957
16,Financing cash outflow,Income taxes payable,0.004023292762131824
17,Operating Expenses,Water,0.011873350923482847
18,Financing cash outflow,Compression,0.01846794347445214
19,Operating Expenses,Cash on hand reserve,0.036969065663565
20,Operating Expenses,Var O&M,0.06687352112630429
21,Operating Expenses,Solar Plant Fixed O&M Cost,0.0688873886232051
22,Financing cash outflow,Solar Plant,0.13175350920378934
23,Operating Expenses,Property insurance,0.13510515517560565
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.1818382126715288
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.4736974595682512
26,Financing cash outflow,Wind Plant,0.7234390672805678
27,Financing cash outflow,Hydrogen Storage,1.5727533755366456
28,Financing cash outflow,Electrolysis system,1.58402312848231
29,Financing cash outflow,Repayment of debt,1.6268295716532875
30,Financing cash outflow,Interest expense,2.3814866574422675
31,Financing cash outflow,Dividends paid,2.494262406436765
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.021637042995822586
36,Operating Revenue,Cash on hand recovery,0.036969065663565
37,Financing cash inflow,One time capital incentive,0.7863766877683228
38,Financing cash inflow,Inflow of debt,1.6268295716532875
39,Financing cash inflow,Monetized tax losses,2.5967452771143655
40,Financing cash inflow,Inflow of equity,2.9198770680185575
41,Operating Revenue,Hydrogen sales,3.528159420264589
