,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Income taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Grid Electricity Cost,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Financing cash outflow,Capital gains taxes payable,0.0
7,Operating Expenses,Labor,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Non-depreciable assets,0.00010205539055289646
15,Financing cash outflow,Desalination,0.0007772671120488218
16,Operating Expenses,Desalination Fixed O&M Cost,0.00343170495174957
17,Operating Expenses,Water,0.011873350923482847
18,Financing cash outflow,Compression,0.01846794347445214
19,Operating Expenses,Cash on hand reserve,0.034833248139530336
20,Operating Expenses,Solar Plant Fixed O&M Cost,0.06276406519003132
21,Operating Expenses,Var O&M,0.06687352112630429
22,Operating Expenses,Property insurance,0.12191654497540177
23,Financing cash outflow,Solar Plant,0.12736512741001477
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.1818382126715288
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.4502470902826943
26,Financing cash outflow,Wind Plant,0.673015948137755
27,Financing cash outflow,Electrolysis system,1.2445234345707503
28,Financing cash outflow,Repayment of debt,1.4785627664364012
29,Financing cash outflow,Hydrogen Storage,1.5727533755366456
30,Financing cash outflow,Dividends paid,2.142459633981189
31,Financing cash outflow,Interest expense,2.165341906587553
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.0170215032546935
36,Operating Revenue,Cash on hand recovery,0.03483324813953033
37,Financing cash inflow,One time capital incentive,0.7863766877683228
38,Financing cash inflow,Inflow of debt,1.4785627664364012
39,Financing cash inflow,Monetized tax losses,2.633477440701599
40,Financing cash inflow,Inflow of equity,2.678264973840892
41,Operating Revenue,Hydrogen sales,2.728610576756646
