,Type,Name,NPV
0,Operating Expenses,Labor,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Operating Expenses,Administrative expenses,0.0
6,Financing cash outflow,Hydrogen Storage,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Operating Expenses,Credit card fees,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Non-depreciable assets,0.00011370520891750185
14,Financing cash outflow,Desalination,0.0003765972460594557
15,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
16,Financing cash outflow,Compression,0.008514246043742539
17,Operating Expenses,Water,0.011873350923482847
18,Operating Expenses,Cash on hand reserve,0.020158121228121946
19,Operating Expenses,Property insurance,0.03919256210556332
20,Operating Expenses,Var O&M,0.0752748738237094
21,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
22,Operating Expenses,Solar Plant Fixed O&M Cost,0.10437119923024424
23,Financing cash outflow,Solar Plant,0.2117971652672273
24,Operating Expenses,Wind Plant Fixed O&M Cost,0.22153806229016743
25,Financing cash outflow,Income taxes payable,0.25223815539990435
26,Financing cash outflow,Electrolysis system,0.40583068363061575
27,Financing cash outflow,Wind Plant,0.5401224833999173
28,Financing cash outflow,Repayment of debt,0.7227242757111739
29,Financing cash outflow,Interest expense,1.0651281860248085
30,Financing cash outflow,Dividends paid,1.2129947066419333
31,Operating Expenses,Grid Electricity Cost,3.590587740790686
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0001137052089170681
37,Operating Revenue,Cash on hand recovery,0.020158121228121946
38,Financing cash inflow,Monetized tax losses,0.20445691610006922
39,Financing cash inflow,Inflow of debt,0.7227242757111739
40,Financing cash inflow,Inflow of equity,1.0751456456316093
41,Operating Revenue,Hydrogen sales,6.545732738590384
