,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Financing cash outflow,Income taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Grid Electricity Cost,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Sales tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Installation cost,0.0
16,Operating Expenses,Non-depreciable assets,0.00010353333275520208
17,Financing cash outflow,Desalination,0.0007885233118550022
18,Operating Expenses,Desalination Fixed O&M Cost,0.003481402097060313
19,Operating Expenses,Water,0.01187335092348285
20,Financing cash outflow,Compression,0.01873539189538137
21,Operating Expenses,Cash on hand reserve,0.034881518145055516
22,Operating Expenses,Var O&M,0.06750142073147682
23,Operating Expenses,Property insurance,0.1209728524315145
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18447155096990886
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.4673461509903341
26,Financing cash outflow,Wind Plant,0.7298677543244105
27,Financing cash outflow,Electrolysis system,0.8336256859637345
28,Financing cash outflow,Repayment of debt,1.4010378927008615
29,Financing cash outflow,Hydrogen Storage,2.0215477714424472
30,Financing cash outflow,Interest expense,2.0718720144917366
31,Financing cash outflow,Dividends paid,2.073806597214179
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.005339412109273548
36,Operating Revenue,Cash on hand recovery,0.034881518145055516
37,Financing cash inflow,One time capital incentive,1.0107738857212236
38,Financing cash inflow,Inflow of debt,1.4010378927008613
39,Operating Revenue,Hydrogen sales,2.096550260154588
40,Financing cash inflow,Inflow of equity,2.7204863534724533
41,Financing cash inflow,Monetized tax losses,2.772844088662738
