,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.0001039284301635561
16,Financing cash outflow,Desalination,0.0008318555117404308
17,Operating Expenses,Desalination Fixed O&M Cost,0.003672717698366351
18,Operating Expenses,Water,0.011873350923482845
19,Financing cash outflow,Compression,0.01880688872239711
20,Operating Expenses,Cash on hand reserve,0.020658031004304984
21,Operating Expenses,Var O&M,0.07350545807847014
22,Operating Expenses,Property insurance,0.10403253345494859
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18517551972821775
24,Financing cash outflow,Electrolysis system,0.3179253499518607
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.469129608048527
26,Financing cash outflow,Wind Plant,0.7326530298535638
27,Financing cash outflow,Repayment of debt,1.116361804706116
28,Financing cash outflow,Income taxes payable,1.7747485676450157
29,Financing cash outflow,Hydrogen Storage,2.0292622752076186
30,Financing cash outflow,Interest expense,2.578795768871128
31,Financing cash outflow,Dividends paid,7.061438121268506
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.002100770202624436
37,Operating Revenue,Cash on hand recovery,0.020658031004304987
38,Financing cash inflow,Monetized tax losses,0.3162150697013664
39,Financing cash inflow,Inflow of debt,1.116361804706116
40,Financing cash inflow,Inflow of equity,2.853563313292775
41,Operating Revenue,Hydrogen sales,12.19007582019724
