,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.0001026696644973131
14,Financing cash outflow,Desalination,0.0008217802016851748
15,Operating Expenses,Desalination Fixed O&M Cost,0.003628234288646499
16,Operating Expenses,Water,0.011873350923482852
17,Operating Expenses,Cash on hand reserve,0.013455009700193109
18,Financing cash outflow,Compression,0.01857910248743378
19,Operating Expenses,Var O&M,0.07225130140004289
20,Operating Expenses,Property insurance,0.07589873576141205
21,Operating Expenses,Solar Plant Fixed O&M Cost,0.14322418197375175
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.1829327014147326
23,Financing cash outflow,Solar Plant,0.2553394556048177
24,Operating Expenses,Wind Plant Fixed O&M Cost,0.3333948483283502
25,Financing cash outflow,Wind Plant,0.4740085924804592
26,Financing cash outflow,Electrolysis system,0.6341612941008522
27,Financing cash outflow,Repayment of debt,0.7418577380148995
28,Financing cash outflow,Hydrogen Storage,0.8802039035775916
29,Financing cash outflow,Income taxes payable,1.1806716261771064
30,Financing cash outflow,Interest expense,1.7136913748144176
31,Financing cash outflow,Dividends paid,4.695364874958467
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.008724169794543874
37,Operating Revenue,Cash on hand recovery,0.013455009700193107
38,Financing cash inflow,Monetized tax losses,0.2052814651776792
39,Financing cash inflow,Inflow of debt,0.7418577380148995
40,Financing cash inflow,Inflow of equity,1.8813604710805525
41,Operating Revenue,Hydrogen sales,8.58078192210497
