,Type,Name,NPV
0,Operating Expenses,Labor,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Operating Expenses,Administrative expenses,0.0
6,Financing cash outflow,Hydrogen Storage,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Operating Expenses,Credit card fees,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Non-depreciable assets,0.00011370520891750185
14,Financing cash outflow,Desalination,0.0003765972460594557
15,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
16,Financing cash outflow,Compression,0.008514246043742539
17,Operating Expenses,Property insurance,0.009777305047003592
18,Operating Expenses,Water,0.011873350923482847
19,Financing cash outflow,Wind Plant,0.014043942322894756
20,Operating Expenses,Cash on hand reserve,0.017182286886774825
21,Operating Expenses,Var O&M,0.0752748738237094
22,Financing cash outflow,Electrolysis system,0.0784374401558739
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
24,Financing cash outflow,Repayment of debt,0.10167483850812437
25,Operating Expenses,Solar Plant Fixed O&M Cost,0.10574584429327671
26,Financing cash outflow,Income taxes payable,0.15012528105697637
27,Financing cash outflow,Solar Plant,0.18852323638521806
28,Operating Expenses,Wind Plant Fixed O&M Cost,0.2007688689504642
29,Financing cash outflow,Interest expense,0.2348688769537673
30,Financing cash outflow,Dividends paid,0.6149216992952725
31,Operating Expenses,Grid Electricity Cost,3.5681912716731983
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011370520891766451
37,Operating Revenue,Cash on hand recovery,0.017182286886774825
38,Financing cash inflow,Monetized tax losses,0.024795804799140245
39,Financing cash inflow,Inflow of debt,0.10167483850812437
40,Financing cash inflow,Inflow of equity,0.25334567338591313
41,Operating Revenue,Hydrogen sales,5.068796643489886
