,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00010149975163797288
16,Financing cash outflow,Desalination,0.0008124160800606432
17,Operating Expenses,Desalination Fixed O&M Cost,0.0035868908404939255
18,Operating Expenses,Water,0.011873350923482849
19,Financing cash outflow,Compression,0.01836739505640757
20,Operating Expenses,Cash on hand reserve,0.020371114272364352
21,Operating Expenses,Var O&M,0.07408345806392963
22,Operating Expenses,Property insurance,0.10641767936657316
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18084819747847455
24,Financing cash outflow,Electrolysis system,0.379822174992669
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.44289440987169865
26,Financing cash outflow,Wind Plant,0.6482535867532684
27,Financing cash outflow,Income taxes payable,1.4337150010043744
28,Financing cash outflow,Repayment of debt,1.550603929377256
29,Financing cash outflow,Hydrogen Storage,2.1233668728994677
30,Financing cash outflow,Interest expense,2.450717951880655
31,Financing cash outflow,Dividends paid,5.9351519201468275
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.002487106263507451
37,Operating Revenue,Cash on hand recovery,0.020371114272364352
38,Financing cash inflow,Monetized tax losses,0.3897706609716146
39,Financing cash inflow,Inflow of debt,1.550603929377256
40,Financing cash inflow,Inflow of equity,2.923368443424499
41,Operating Revenue,Hydrogen sales,10.494386594450402
