,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00010353551574385044
16,Financing cash outflow,Desalination,0.0008287105780090151
17,Operating Expenses,Desalination Fixed O&M Cost,0.0036588325300738506
18,Financing cash outflow,Compression,0.007551404085614955
19,Operating Expenses,Water,0.01187335092348285
20,Operating Expenses,Cash on hand reserve,0.020844522265946876
21,Operating Expenses,Var O&M,0.07437273678597064
22,Operating Expenses,Property insurance,0.11040497407499253
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18447544053176296
24,Financing cash outflow,Electrolysis system,0.43096274127379786
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.4350154524452977
26,Financing cash outflow,Wind Plant,0.6363199210523632
27,Financing cash outflow,Income taxes payable,1.4992423487807622
28,Financing cash outflow,Repayment of debt,1.5818101480192728
29,Financing cash outflow,Hydrogen Storage,2.213792840465407
30,Financing cash outflow,Interest expense,2.504500110975392
31,Financing cash outflow,Dividends paid,6.196072890267678
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0028103483077474047
37,Operating Revenue,Cash on hand recovery,0.020844522265946876
38,Financing cash inflow,Monetized tax losses,0.39412143597548954
39,Financing cash inflow,Inflow of debt,1.5818101480192728
40,Financing cash inflow,Inflow of equity,3.0077947634254247
41,Operating Revenue,Hydrogen sales,10.904448742577687
