,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011645319587335802
16,Financing cash outflow,Desalination,0.0008869226677294004
17,Operating Expenses,Desalination Fixed O&M Cost,0.003915844197553985
18,Operating Expenses,Water,0.007678100263852245
19,Operating Expenses,Cash on hand reserve,0.01754343379687929
20,Financing cash outflow,Compression,0.02107337032524287
21,Operating Expenses,Var O&M,0.06705181556612283
22,Operating Expenses,Property insurance,0.0895604054486383
23,Financing cash outflow,Hydrogen Storage,0.10909293446330902
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.2074916462793144
25,Financing cash outflow,Income taxes payable,0.4432622459556137
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.5633183549952755
27,Financing cash outflow,Wind Plant,0.9093940295687616
28,Financing cash outflow,Repayment of debt,1.0267672050977104
29,Financing cash outflow,Electrolysis system,1.6279180651166578
30,Financing cash outflow,Interest expense,1.629261718574687
31,Financing cash outflow,Dividends paid,2.4655412544931004
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Financing cash inflow,One time capital incentive,0.006545576067798541
36,Operating Revenue,Sale of non-depreciable assets,0.01034116410698933
37,Operating Revenue,Cash on hand recovery,0.01754343379687929
38,Financing cash inflow,Monetized tax losses,0.5952753923672347
39,Financing cash inflow,Inflow of debt,1.0267672050977106
40,Financing cash inflow,Inflow of equity,1.7766822844045342
41,Operating Revenue,Hydrogen sales,5.756718744165175
