,Type,Name,NPV
0,Operating Expenses,Labor,0.0
1,Financing cash outflow,Compression,0.0
2,Financing cash outflow,Capital gains taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Operating Expenses,Administrative expenses,0.0
7,Financing cash outflow,Hydrogen Storage,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Non-depreciable assets,0.00011370520891750185
15,Financing cash outflow,Desalination,0.0003765972460594557
16,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
17,Operating Expenses,Water,0.007678100263852243
18,Operating Expenses,Cash on hand reserve,0.014663020013851955
19,Operating Expenses,Property insurance,0.043580020373303725
20,Operating Expenses,Var O&M,0.07527468904833468
21,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
22,Operating Expenses,Solar Plant Fixed O&M Cost,0.09978904902013597
23,Operating Expenses,Wind Plant Fixed O&M Cost,0.21153808031179183
24,Financing cash outflow,Solar Plant,0.2124081186285751
25,Financing cash outflow,Income taxes payable,0.281903054639956
26,Financing cash outflow,Electrolysis system,0.41408725627860243
27,Financing cash outflow,Wind Plant,0.6705409733853038
28,Financing cash outflow,Repayment of debt,0.8149087125236074
29,Financing cash outflow,Interest expense,1.2023833450577874
30,Financing cash outflow,Dividends paid,1.3317367983817663
31,Operating Expenses,Grid Electricity Cost,2.29578031169416
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011370520891771872
37,Operating Revenue,Cash on hand recovery,0.014663020013851957
38,Financing cash inflow,Monetized tax losses,0.23790553768588257
39,Financing cash inflow,Inflow of debt,0.8149087125236073
40,Financing cash inflow,Inflow of equity,1.20480379103874
41,Operating Revenue,Hydrogen sales,5.489862353109005
