,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Hydrogen Storage,0.0
2,Financing cash outflow,Capital gains taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Operating Expenses,Rent of land,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011370520891750185
16,Financing cash outflow,Desalination,0.0003765972460594557
17,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
18,Operating Expenses,Water,0.007678100263852243
19,Financing cash outflow,Compression,0.008514246043742539
20,Operating Expenses,Cash on hand reserve,0.018541898762510292
21,Operating Expenses,Property insurance,0.036472305947068476
22,Operating Expenses,Var O&M,0.0752748738237094
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
24,Operating Expenses,Wind Plant Fixed O&M Cost,0.22153806229016743
25,Financing cash outflow,Income taxes payable,0.24272097824461408
26,Financing cash outflow,Electrolysis system,0.40583068363061575
27,Financing cash outflow,Repayment of debt,0.6630552728305351
28,Financing cash outflow,Wind Plant,0.6708401965428887
29,Financing cash outflow,Interest expense,0.9783732664938679
30,Financing cash outflow,Dividends paid,1.1553114663701496
31,Operating Expenses,Grid Electricity Cost,3.6778780347701137
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0001137052089170681
37,Operating Revenue,Cash on hand recovery,0.018541898762510292
38,Financing cash inflow,Monetized tax losses,0.18504197814682402
39,Financing cash inflow,Inflow of debt,0.6630552728305351
40,Financing cash inflow,Inflow of equity,0.9889073270048863
41,Operating Revenue,Hydrogen sales,6.392354794019138
