,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010459569322975737
14,Financing cash outflow,Desalination,0.0008371963646574508
15,Operating Expenses,Desalination Fixed O&M Cost,0.003696298049468036
16,Operating Expenses,Water,0.007678100263852244
17,Operating Expenses,Cash on hand reserve,0.007949211846009724
18,Financing cash outflow,Compression,0.018927636646856892
19,Operating Expenses,Solar Plant Fixed O&M Cost,0.022592669737627587
20,Operating Expenses,Property insurance,0.040028929906464575
21,Financing cash outflow,Solar Plant,0.04559953842044503
22,Operating Expenses,Var O&M,0.07363966614547454
23,Financing cash outflow,Hydrogen Storage,0.09878190932081246
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18636442236905248
25,Financing cash outflow,Electrolysis system,0.27911976584414244
26,Financing cash outflow,Repayment of debt,0.4017871031653184
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.518257769645387
28,Financing cash outflow,Income taxes payable,0.6394196813598972
29,Financing cash outflow,Wind Plant,0.7494239581634823
30,Financing cash outflow,Interest expense,0.9281282083118858
31,Financing cash outflow,Dividends paid,2.5422481615356034
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0038992629488768336
37,Operating Revenue,Cash on hand recovery,0.007949211846009724
38,Financing cash inflow,Monetized tax losses,0.11175401635586232
39,Financing cash inflow,Inflow of debt,0.4017871031653184
40,Financing cash inflow,Inflow of equity,1.0199306680158045
41,Operating Revenue,Hydrogen sales,5.0192645604577955
