,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011731033028118341
16,Financing cash outflow,Desalination,0.0009389658313410411
17,Operating Expenses,Desalination Fixed O&M Cost,0.004145619495520745
18,Operating Expenses,Water,0.007678100263852241
19,Operating Expenses,Cash on hand reserve,0.007915398051109902
20,Financing cash outflow,Compression,0.008797930237333964
21,Operating Expenses,Property insurance,0.0429705444114401
22,Operating Expenses,Var O&M,0.07336291187532733
23,Financing cash outflow,Hydrogen Storage,0.11009849517619756
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.20901885408180135
25,Financing cash outflow,Income taxes payable,0.27619370478871363
26,Financing cash outflow,Electrolysis system,0.3588616488185147
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.5130606523422003
28,Financing cash outflow,Repayment of debt,0.744050198093165
29,Financing cash outflow,Wind Plant,0.800613250515387
30,Financing cash outflow,Interest expense,1.1006930185976374
31,Financing cash outflow,Dividends paid,1.260876423384802
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0023712668990320657
37,Operating Revenue,Cash on hand recovery,0.007915398051109903
38,Financing cash inflow,Monetized tax losses,0.220710717629975
39,Financing cash inflow,Inflow of debt,0.744050198093165
40,Financing cash inflow,Inflow of equity,1.100807789880219
41,Operating Revenue,Hydrogen sales,3.443537655741125
