,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011645319587335802
16,Financing cash outflow,Desalination,0.0008869226677294004
17,Operating Expenses,Desalination Fixed O&M Cost,0.003915844197553985
18,Operating Expenses,Water,0.007678100263852245
19,Operating Expenses,Cash on hand reserve,0.007774988422288967
20,Financing cash outflow,Compression,0.02107337032524287
21,Operating Expenses,Property insurance,0.04130205469819546
22,Operating Expenses,Var O&M,0.06705181556612283
23,Financing cash outflow,Hydrogen Storage,0.10909293446330902
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.2074916462793144
25,Financing cash outflow,Electrolysis system,0.31463792897304965
26,Financing cash outflow,Income taxes payable,0.3837886168202422
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.5105072592144682
28,Financing cash outflow,Repayment of debt,0.6082114237732476
29,Financing cash outflow,Wind Plant,0.7838861784847448
30,Financing cash outflow,Interest expense,0.9814707745428896
31,Financing cash outflow,Dividends paid,1.5670423274895025
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0020926471667846516
37,Operating Revenue,Cash on hand recovery,0.007774988422288968
38,Financing cash inflow,Monetized tax losses,0.1951817850697588
39,Financing cash inflow,Inflow of debt,0.6082114237732476
40,Financing cash inflow,Inflow of equity,1.0571053379418995
41,Operating Revenue,Hydrogen sales,3.745562457003647
