,Type,Name,NPV
0,Operating Expenses,Labor,0.0
1,Financing cash outflow,Compression,0.0
2,Financing cash outflow,Capital gains taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Operating Expenses,Administrative expenses,0.0
7,Financing cash outflow,Hydrogen Storage,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Non-depreciable assets,0.00011370520891750185
15,Financing cash outflow,Desalination,0.0003765972460594557
16,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
17,Operating Expenses,Water,0.011655677691341555
18,Operating Expenses,Cash on hand reserve,0.016578990254702445
19,Operating Expenses,Solar Plant Fixed O&M Cost,0.028653712647210464
20,Operating Expenses,Property insurance,0.035060012180541764
21,Financing cash outflow,Solar Plant,0.05768037837967034
22,Operating Expenses,Var O&M,0.07527468904833468
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
24,Financing cash outflow,Income taxes payable,0.1908986766138223
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.23572017643102897
26,Financing cash outflow,Electrolysis system,0.30994499256895836
27,Financing cash outflow,Repayment of debt,0.6617422119834511
28,Financing cash outflow,Wind Plant,0.6754651883761218
29,Financing cash outflow,Interest expense,0.9746884614564075
30,Financing cash outflow,Dividends paid,1.039758516508188
31,Operating Expenses,Grid Electricity Cost,3.2434703535284597
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.00011370520891728497
36,Financing cash inflow,One time capital incentive,0.0034608227027802204
37,Operating Revenue,Cash on hand recovery,0.01657899025470244
38,Financing cash inflow,Monetized tax losses,0.26150996333346854
39,Financing cash inflow,Inflow of debt,0.6617422119834511
40,Financing cash inflow,Inflow of equity,0.9715450747428929
41,Operating Revenue,Hydrogen sales,5.727626859401002
