,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,9.980848234971754e-05
14,Financing cash outflow,Desalination,0.000996064343341279
15,Operating Expenses,Desalination Fixed O&M Cost,0.004397714616144402
16,Operating Expenses,Water,0.010791556728232192
17,Operating Expenses,Cash on hand reserve,0.015751306413705524
18,Financing cash outflow,Compression,0.023666587334765024
19,Operating Expenses,Var O&M,0.06605059305407204
20,Financing cash outflow,Hydrogen Storage,0.06933988300261582
21,Operating Expenses,Property insurance,0.07336964710911081
22,Operating Expenses,Solar Plant Fixed O&M Cost,0.18414664993522883
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.23302485991153257
24,Financing cash outflow,Solar Plant,0.31763051422974115
25,Financing cash outflow,Income taxes payable,0.42008321322175907
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.467156587907645
27,Financing cash outflow,Wind Plant,0.8871329237100767
28,Financing cash outflow,Electrolysis system,0.8899194738223755
29,Financing cash outflow,Repayment of debt,1.0024206634298192
30,Financing cash outflow,Interest expense,1.6176062245766993
31,Financing cash outflow,Dividends paid,2.348548330259421
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Financing cash inflow,One time capital incentive,0.004160392980156949
36,Operating Revenue,Sale of non-depreciable assets,0.012198372255727927
37,Operating Revenue,Cash on hand recovery,0.015751306413705524
38,Financing cash inflow,Monetized tax losses,0.6000312372068941
39,Financing cash inflow,Inflow of debt,1.0024206634298192
40,Financing cash inflow,Inflow of equity,1.7483728517177655
41,Operating Revenue,Hydrogen sales,5.249197778084565
