,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010322807003314681
14,Financing cash outflow,Desalination,0.0008262497459863695
15,Operating Expenses,Desalination Fixed O&M Cost,0.003647967733009072
16,Financing cash outflow,Compression,0.010866306252405016
17,Operating Expenses,Water,0.011655677691341558
18,Operating Expenses,Cash on hand reserve,0.012953798617586686
19,Operating Expenses,Solar Plant Fixed O&M Cost,0.06689178938147913
20,Operating Expenses,Var O&M,0.07295476141224685
21,Operating Expenses,Property insurance,0.07580507779565131
22,Financing cash outflow,Hydrogen Storage,0.10352451518078783
23,Financing cash outflow,Solar Plant,0.12561410930053502
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18392764606225964
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.49815653388175146
26,Financing cash outflow,Income taxes payable,0.5026274796852422
27,Financing cash outflow,Wind Plant,0.9776507540208063
28,Financing cash outflow,Electrolysis system,1.0432960575315546
29,Financing cash outflow,Repayment of debt,1.156378010396885
30,Financing cash outflow,Interest expense,1.7287248148979404
31,Financing cash outflow,Dividends paid,2.23967261785804
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Cash on hand recovery,0.012953798617586684
37,Operating Revenue,Sale of non-depreciable assets,0.01428696520340122
38,Financing cash inflow,Monetized tax losses,0.33132368264993617
39,Financing cash inflow,Inflow of debt,1.156378010396885
40,Financing cash inflow,Inflow of equity,1.7454604978952648
41,Operating Revenue,Hydrogen sales,5.554874440752466
