,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010176290896984546
14,Financing cash outflow,Desalination,0.0009830443031782394
15,Operating Expenses,Desalination Fixed O&M Cost,0.0043402299553285005
16,Operating Expenses,Cash on hand reserve,0.008578780733727871
17,Operating Expenses,Water,0.010791556728232192
18,Financing cash outflow,Compression,0.012016845488075379
19,Operating Expenses,Property insurance,0.047477915650752114
20,Financing cash outflow,Hydrogen Storage,0.07010071878343173
21,Operating Expenses,Var O&M,0.07192315056239573
22,Operating Expenses,Solar Plant Fixed O&M Cost,0.1175589426009856
23,Financing cash outflow,Solar Plant,0.1919104172479462
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.21883095944875566
25,Financing cash outflow,Income taxes payable,0.2887814116558493
26,Financing cash outflow,Electrolysis system,0.37570792005961606
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.43485560722736627
28,Financing cash outflow,Wind Plant,0.7631509902891979
29,Financing cash outflow,Repayment of debt,0.8428340021248634
30,Financing cash outflow,Interest expense,1.2410804998409581
31,Financing cash outflow,Dividends paid,1.338157608517117
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0024615283983639917
37,Operating Revenue,Cash on hand recovery,0.008578780733727873
38,Financing cash inflow,Monetized tax losses,0.2523083760685267
39,Financing cash inflow,Inflow of debt,0.8428340021248634
40,Financing cash inflow,Inflow of equity,1.232932759149808
41,Operating Revenue,Hydrogen sales,3.7000669176514576
