,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00010233677879451834
16,Financing cash outflow,Desalination,0.0010212961260392525
17,Operating Expenses,Desalination Fixed O&M Cost,0.00450911523027545
18,Operating Expenses,Water,0.010791556728232192
19,Operating Expenses,Cash on hand reserve,0.013041347409634417
20,Financing cash outflow,Compression,0.02426609698775619
21,Operating Expenses,Var O&M,0.06693311165572506
22,Operating Expenses,Property insurance,0.07329888534435863
23,Financing cash outflow,Hydrogen Storage,0.1075135773389409
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.23892772418713792
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.5898571417925329
26,Financing cash outflow,Income taxes payable,0.6112133937054873
27,Financing cash outflow,Electrolysis system,0.9494867996675111
28,Financing cash outflow,Repayment of debt,0.9499434331687987
29,Financing cash outflow,Wind Plant,1.1013679965525967
30,Financing cash outflow,Interest expense,1.5329237181044904
31,Financing cash outflow,Dividends paid,2.481265845811197
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.006065921954578233
37,Operating Revenue,Cash on hand recovery,0.013041347409634417
38,Financing cash inflow,Monetized tax losses,0.3001723427408497
39,Financing cash inflow,Inflow of debt,0.9499434331687987
40,Financing cash inflow,Inflow of equity,1.6403030043142142
41,Operating Revenue,Hydrogen sales,5.8469373270014335
