,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Income taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Grid Electricity Cost,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Financing cash outflow,Capital gains taxes payable,0.0
7,Operating Expenses,Labor,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Non-depreciable assets,0.00010693835202092134
15,Financing cash outflow,Desalination,0.000674032866963999
16,Operating Expenses,Desalination Fixed O&M Cost,0.0029759163759099407
17,Operating Expenses,Water,0.01261213720316624
18,Financing cash outflow,Compression,0.01601508759865318
19,Operating Expenses,Cash on hand reserve,0.0248222350740387
20,Financing cash outflow,Hydrogen Storage,0.031540655986958155
21,Operating Expenses,Property insurance,0.06347044871454983
22,Operating Expenses,Solar Plant Fixed O&M Cost,0.06576708649286662
23,Operating Expenses,Var O&M,0.06760586149668882
24,Financing cash outflow,Solar Plant,0.12678611015600433
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.15768701635596977
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.49573841310760225
27,Financing cash outflow,Wind Plant,0.6399675201789884
28,Financing cash outflow,Repayment of debt,1.0036594581323843
29,Financing cash outflow,Electrolysis system,1.0792296311064247
30,Financing cash outflow,Interest expense,1.3541987344352047
31,Financing cash outflow,Dividends paid,1.4656064363177066
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.014779196800281773
36,Financing cash inflow,One time capital incentive,0.015770327993479077
37,Operating Revenue,Cash on hand recovery,0.024822235074038704
38,Operating Revenue,Hydrogen sales,0.863316679543755
39,Financing cash inflow,Inflow of debt,1.0036594581323846
40,Financing cash inflow,Inflow of equity,2.230574268462459
41,Financing cash inflow,Monetized tax losses,2.4555415539457033
