,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00013745679629444826
16,Financing cash outflow,Desalination,0.000866390745126756
17,Operating Expenses,Desalination Fixed O&M Cost,0.003825193892951868
18,Operating Expenses,Cash on hand reserve,0.006732076084104819
19,Operating Expenses,Water,0.01261213720316623
20,Financing cash outflow,Compression,0.02058552981305657
21,Financing cash outflow,Hydrogen Storage,0.035729401045110964
22,Operating Expenses,Property insurance,0.036505885582884985
23,Operating Expenses,Var O&M,0.0674542873915156
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.20268829354394163
25,Financing cash outflow,Income taxes payable,0.32681641926859234
26,Financing cash outflow,Electrolysis system,0.34799279489363055
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.5050382626732102
28,Financing cash outflow,Repayment of debt,0.5140667973604053
29,Financing cash outflow,Wind Plant,0.681178150580842
30,Financing cash outflow,Interest expense,0.829549590900486
31,Financing cash outflow,Dividends paid,1.3311187239667979
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.002323147712308013
37,Operating Revenue,Cash on hand recovery,0.006732076084104819
38,Financing cash inflow,Monetized tax losses,0.16401942963774038
39,Financing cash inflow,Inflow of debt,0.5140667973604053
40,Financing cash inflow,Inflow of equity,0.8909639001500491
41,Operating Revenue,Hydrogen sales,3.3447920407975107
