,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Financing cash outflow,Income taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Grid Electricity Cost,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Sales tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Installation cost,0.0
16,Operating Expenses,Non-depreciable assets,0.00013503594084918208
17,Financing cash outflow,Desalination,0.0008511320834264247
18,Operating Expenses,Desalination Fixed O&M Cost,0.0037578255145625248
19,Operating Expenses,Water,0.012612137203166219
20,Financing cash outflow,Compression,0.02022298250157351
21,Operating Expenses,Cash on hand reserve,0.02147583041261115
22,Financing cash outflow,Hydrogen Storage,0.03818274466360029
23,Operating Expenses,Property insurance,0.045966341508431464
24,Operating Expenses,Var O&M,0.06894957205268135
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.19911859693856995
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.49614365243043096
27,Financing cash outflow,Electrolysis system,0.6210726385107643
28,Financing cash outflow,Wind Plant,0.6994689947852457
29,Financing cash outflow,Repayment of debt,0.936231629911188
30,Financing cash outflow,Interest expense,1.111691951568035
31,Financing cash outflow,Dividends paid,1.2188557846322448
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.006046245037384744
36,Financing cash inflow,One time capital incentive,0.019091372331800145
37,Operating Revenue,Cash on hand recovery,0.021475830412611144
38,Operating Revenue,Hydrogen sales,0.3189154340250796
39,Financing cash inflow,Inflow of debt,0.9362316299111881
40,Financing cash inflow,Inflow of equity,2.2890148980212905
41,Financing cash inflow,Monetized tax losses,2.5417923089681858
