,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00013913880043803117
16,Financing cash outflow,Desalination,0.0009216691049395411
17,Operating Expenses,Desalination Fixed O&M Cost,0.004069252876219662
18,Operating Expenses,Cash on hand reserve,0.008234563068898608
19,Operating Expenses,Water,0.01261213720316623
20,Financing cash outflow,Compression,0.02083742675359955
21,Financing cash outflow,Hydrogen Storage,0.03616660751453047
22,Operating Expenses,Property insurance,0.05133915120256627
23,Operating Expenses,Var O&M,0.07346362018686109
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.20516850957390328
25,Financing cash outflow,Income taxes payable,0.33023657514068705
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.49417760785014997
27,Financing cash outflow,Wind Plant,0.6553375723003874
28,Financing cash outflow,Repayment of debt,0.7044855328081658
29,Financing cash outflow,Electrolysis system,0.8153293729751491
30,Financing cash outflow,Interest expense,1.0554351919047789
31,Financing cash outflow,Dividends paid,1.4480971519033008
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00526010116006043
37,Operating Revenue,Cash on hand recovery,0.008234563068898608
38,Financing cash inflow,Monetized tax losses,0.19855778071137212
39,Financing cash inflow,Inflow of debt,0.7044855328081658
40,Financing cash inflow,Inflow of equity,1.0682033184020998
41,Operating Revenue,Hydrogen sales,3.931309785017145
