,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.0001373221011942827
16,Financing cash outflow,Desalination,0.0009096351103912285
17,Operating Expenses,Desalination Fixed O&M Cost,0.004016121696422391
18,Operating Expenses,Cash on hand reserve,0.005843581432906147
19,Operating Expenses,Water,0.012612137203166231
20,Financing cash outflow,Compression,0.020565357874855774
21,Financing cash outflow,Hydrogen Storage,0.0388291790585331
22,Operating Expenses,Property insurance,0.041138989370410384
23,Operating Expenses,Var O&M,0.0745084072602703
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.2024896775370415
25,Financing cash outflow,Income taxes payable,0.2181983091250221
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.4877252589465194
27,Financing cash outflow,Electrolysis system,0.560999988317159
28,Financing cash outflow,Wind Plant,0.6134637856916835
29,Financing cash outflow,Repayment of debt,0.6183900495546897
30,Financing cash outflow,Interest expense,0.9130789883422163
31,Financing cash outflow,Dividends paid,1.013176058355017
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.005476775215805196
37,Operating Revenue,Cash on hand recovery,0.005843581432906146
38,Financing cash inflow,Monetized tax losses,0.17553646414921414
39,Financing cash inflow,Inflow of debt,0.6183900495546898
40,Financing cash inflow,Inflow of equity,0.8900964698583786
41,Operating Revenue,Hydrogen sales,3.130739506766505
