,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Total annual maintenance,0.0
6,Operating Expenses,Credit card fees,0.0
7,Operating Expenses,Road tax,0.0
8,Operating Expenses,Property insurance,0.0
9,Financing cash outflow,Capital gains taxes payable,0.0
10,Operating Expenses,Non-depreciable assets,0.0002185902473509667
11,Operating Expenses,Cooling water,0.00022156570799999995
12,Financing cash outflow,Cooling Tower,0.0004618412903486992
13,Operating Expenses,Maintenance Cost,0.0006711689831577444
14,Financing cash outflow,Boiler and Steam Turbine,0.0006802805187539567
15,Operating Expenses,Installation cost,0.0010639244947119157
16,Financing cash outflow,Haber Bosch,0.0017940520936224223
17,Operating Expenses,Iron based catalyst,0.0021180315277480326
18,Financing cash outflow,Air Separation by Cryogenic,0.0021658289433065634
19,Financing cash outflow,Depreciable Nonequipment,0.002472312766371664
20,Operating Expenses,Administrative Expense,0.0033573781783714568
21,Financing cash outflow,Repayment of debt,0.003405762058500076
22,Operating Expenses,Property tax and insurance,0.004544589367441984
23,Financing cash outflow,Interest expense,0.00562501451377372
24,Operating Expenses,Cash on hand reserve,0.00573881306196463
25,Operating Expenses,Electricity,0.010236368285462776
26,Financing cash outflow,Income taxes payable,0.01177467212166525
27,Operating Expenses,Labor Cost,0.016786890891857285
28,Financing cash outflow,Dividends paid,0.04216055467569363
29,Operating Expenses,Hydrogen,2.008245637817453
30,Operating Revenue,Take or pay revenue,0.0
31,Operating Revenue,Incidental revenue,0.0
32,Operating Revenue,Oxygen byproduct,0.0
33,Financing cash inflow,One time capital incentive,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Financing cash inflow,Monetized tax losses,0.0001693499661952503
36,Operating Revenue,Sale of non-depreciable assets,0.0002185902473509652
37,Financing cash inflow,Inflow of debt,0.003405762058500076
38,Operating Revenue,Cash on hand recovery,0.005738813061964631
39,Financing cash inflow,Inflow of equity,0.00974307966515293
40,Operating Revenue,Ammonia sales,2.104467682546392
