,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Total annual maintenance,0.0
6,Operating Expenses,Credit card fees,0.0
7,Operating Expenses,Road tax,0.0
8,Operating Expenses,Property insurance,0.0
9,Financing cash outflow,Capital gains taxes payable,0.0
10,Operating Expenses,Non-depreciable assets,0.031504065040650404
11,Financing cash outflow,H2 Pre-heating,0.24690292759588187
12,Financing cash outflow,Oxygen Supply,0.45254801825025404
13,Operating Expenses,Raw Water Withdrawal,0.47648790630000004
14,Financing cash outflow,Cooling Tower,0.5585606267464691
15,Financing cash outflow,Electrical & Instrumentation,1.1064619702273688
16,Financing cash outflow,Other Miscellaneous Costs,1.1064624112866277
17,Financing cash outflow,Piping,1.6596929539364058
18,Operating Expenses,Lime,2.0654988
19,Financing cash outflow,"Buildings, Storage, Water Service",2.4087279987122163
20,Operating Expenses,Natural Gas,2.716709262358007
21,Financing cash outflow,Shaft Furnace,3.568034827977117
22,Operating Expenses,Cash on hand reserve,3.7803000492757173
23,Operating Expenses,Maintenance Labor Cost,4.653022251868405
24,Operating Expenses,Slag Disposal,6.560037900000001
25,Financing cash outflow,EAF & Casting,6.864884247764397
26,Operating Expenses,Installation cost,7.715281927953484
27,Operating Expenses,Maintenance Materials,7.719999999999999
28,Financing cash outflow,Repayment of debt,9.8430977930891
29,Operating Expenses,Property tax and insurance,10.783365589498041
30,Operating Expenses,Carbon,12.309439999999999
31,Financing cash outflow,Interest expense,22.737555902035822
32,Operating Expenses,Administrative & Support Labor Cost,22.852529693315844
33,Financing cash outflow,Income taxes payable,33.76336189676466
34,Operating Expenses,Electricity,68.76249878301145
35,Operating Expenses,Annual Operating Labor Cost,86.75709652139497
36,Financing cash outflow,Dividends paid,98.49131975704657
37,Operating Expenses,Iron Ore,431.5773302999999
38,Operating Expenses,Hydrogen,527.3422528767858
39,Operating Revenue,Take or pay revenue,0.0
40,Operating Revenue,Incidental revenue,0.0
41,Operating Revenue,Oxygen sales,0.0
42,Financing cash inflow,One time capital incentive,0.0
43,Financing cash inflow,Annual operating incentives,0.0
44,Operating Revenue,Sale of non-depreciable assets,0.031504065040650404
45,Operating Revenue,Cash on hand recovery,3.780300049275717
46,Financing cash inflow,Monetized tax losses,4.613466274934778
47,Financing cash inflow,Inflow of debt,9.8430977930891
48,Financing cash inflow,Inflow of equity,22.109039568563098
49,Operating Revenue,Steel sales,1338.533559507332
