,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,0.0,0.0,0.0,0.0,5371.336800735813
1,0.0,0.0,0.0,0.0,4698.027593552458
2,0.0,0.0,0.0,0.0,4628.014903732665
3,0.0,0.0,0.0,0.0,4096.212136598623
4,0.0,0.0,0.0,0.0,4335.863602160211
5,0.0,0.0,0.0,0.0,3765.9546674605035
6,0.0,0.0,0.0,0.0,3491.8302744010552
7,0.0,0.0,0.0,0.0,2863.9251653077727
8,933183.6011089707,0.0,933183.6011089707,933183.6011089707,8368.582549644763
9,1547933.8723905438,0.0,1547933.8723905438,1547933.8723905438,10804.218982994953
10,1478365.6254979314,0.0,1478365.6254979314,1478365.6254979314,9819.902740579684
11,1258374.2756120109,0.0,1258374.2756120109,1258374.2756120109,8394.782291414856
12,1222054.2125537882,0.0,1222054.2125537882,1222054.2125537882,7771.528920059545
13,1393958.6842116911,0.0,1393958.6842116911,1393958.6842116911,9144.368484765948
14,1514630.3650213846,0.0,1514630.3650213846,1514630.3650213846,9887.673751183205
15,1209959.1377127266,0.0,1209959.1377127266,1209959.1377127266,8306.297095376072
16,49034.1389161078,0.0,49034.1389161078,49034.1389161078,1619.0054038421988
17,0.0,0.0,0.0,0.0,2377.350556313195
18,0.0,0.0,0.0,0.0,4844.607418829459
19,0.0,0.0,0.0,0.0,5084.379317086531
20,0.0,0.0,0.0,0.0,6556.411644648274
21,0.0,0.0,0.0,0.0,6194.9800901946555
22,0.0,0.0,0.0,0.0,5797.050036250316
23,0.0,0.0,0.0,0.0,7344.030956467551
24,0.0,0.0,0.0,0.0,7521.272649464575
25,0.0,0.0,0.0,0.0,8013.1215097662
26,0.0,0.0,0.0,0.0,8027.102333558536
27,0.0,0.0,0.0,0.0,8271.879333802075
28,0.0,0.0,0.0,0.0,9613.384866259265
29,0.0,0.0,0.0,0.0,10078.339853926824
30,0.0,0.0,0.0,0.0,11329.98006064548
31,0.0,0.0,0.0,0.0,12136.1889497459
32,834220.5481862418,0.0,834220.5481862418,834220.5481862418,17205.726576865603
33,1426287.1271345245,0.0,1426287.1271345245,1426287.1271345245,18162.74417722599
34,1383926.0876437197,0.0,1383926.0876437197,1383926.0876437197,13389.906383773678
35,1201398.2104598733,0.0,1201398.2104598733,1201398.2104598733,11118.161054639357
36,1163045.9366705318,0.0,1163045.9366705318,1163045.9366705318,10791.229520579078
37,1307767.4114765043,0.0,1307767.4114765043,1307767.4114765043,12188.397052698963
38,1369733.9486798693,0.0,1369733.9486798693,1369733.9486798693,12510.735289861987
39,106400.74288953574,0.0,106400.74288953574,106400.74288953574,5336.161893998729
40,18277.671555236997,0.0,18277.671555236997,18277.671555236997,6911.868467969335
41,0.0,0.0,0.0,0.0,9921.873724896477
42,0.0,0.0,0.0,0.0,11680.695941059275
43,0.0,0.0,0.0,0.0,10330.33127841904
44,0.0,0.0,0.0,0.0,9804.721240014995
45,0.0,0.0,0.0,0.0,8088.38674611397
46,0.0,0.0,0.0,0.0,8740.720435719042
47,0.0,0.0,0.0,0.0,8233.859495964085
48,0.0,0.0,0.0,0.0,9531.571038316773
49,0.0,0.0,0.0,0.0,10555.872143553093
50,0.0,0.0,0.0,0.0,11267.118641743995
51,0.0,0.0,0.0,0.0,11636.221370992847
52,0.0,0.0,0.0,0.0,11110.674061537971
53,0.0,0.0,0.0,0.0,11093.828533796579
54,0.0,0.0,0.0,0.0,11520.743271863223
55,0.0,0.0,0.0,0.0,9510.857429965654
56,42921.40212127419,0.0,42921.40212127419,42921.40212127419,6583.713517516946
57,106724.99059597401,0.0,106724.99059597401,106724.99059597401,8489.223032544593
58,157408.10848005078,0.0,157408.10848005078,157408.10848005078,6182.964877551015
59,294609.9783721936,0.0,294609.9783721936,294609.9783721936,6898.143906207642
60,297048.7541924416,0.0,297048.7541924416,297048.7541924416,6094.122229020639
61,245633.4018320929,0.0,245633.4018320929,245633.4018320929,5299.237574684978
62,118551.23865639755,0.0,118551.23865639755,118551.23865639755,5186.873619032287
63,66367.4528204158,0.0,66367.4528204158,66367.4528204158,5129.816923709542
64,19903.734120930247,0.0,19903.734120930247,19903.734120930247,6043.78121406698
65,0.0,0.0,0.0,0.0,6708.257756340702
66,0.0,0.0,0.0,0.0,5110.505179323131
67,0.0,0.0,0.0,0.0,10432.675043904037
68,0.0,0.0,0.0,0.0,10475.752544396399
69,0.0,0.0,0.0,0.0,10935.851683982184
70,0.0,0.0,0.0,0.0,10349.474526630962
71,0.0,0.0,0.0,0.0,11144.149579898774
72,0.0,0.0,0.0,0.0,11995.061609629829
73,0.0,0.0,0.0,0.0,12562.021996151449
74,0.0,0.0,0.0,0.0,12700.53371385443
75,0.0,0.0,0.0,0.0,12821.084451903032
76,0.0,0.0,0.0,0.0,12865.096421969205
77,0.0,0.0,0.0,0.0,12893.167547020521
78,0.0,0.0,0.0,0.0,12893.145945036384
79,0.0,0.0,0.0,0.0,12893.124343124595
80,838949.6286548428,0.0,838949.6286548428,838949.6286548428,17495.076865163344
81,1449221.2206719145,0.0,1449221.2206719145,1449221.2206719145,20725.086987424576
82,1410631.4895215994,0.0,1410631.4895215994,1410631.4895215994,19158.912852538084
83,1216187.651847071,0.0,1216187.651847071,1216187.651847071,16457.297184957013
84,1175645.382875486,0.0,1175645.382875486,1175645.382875486,15783.988714984123
85,1334464.0615458093,0.0,1334464.0615458093,1334464.0615458093,16973.10260741557
86,1432493.2864524103,0.0,1432493.2864524103,1432493.2864524103,17595.3298159666
87,1156484.4286677304,0.0,1156484.4286677304,1156484.4286677304,15735.995141401041
88,54483.66210051058,0.0,54483.66210051058,54483.66210051058,11694.507129256646
89,0.0,0.0,0.0,0.0,12604.550089810016
90,0.0,0.0,0.0,0.0,12828.070509638026
91,0.0,0.0,0.0,0.0,12783.790926644366
92,0.0,0.0,0.0,0.0,12728.85703765146
93,0.0,0.0,0.0,0.0,11784.508393216149
94,0.0,0.0,0.0,0.0,12531.1476540549
95,0.0,0.0,0.0,0.0,10675.85577325785
96,0.0,0.0,0.0,0.0,8071.043841373439
97,0.0,0.0,0.0,0.0,9976.127843763608
98,0.0,0.0,0.0,0.0,9156.826746016188
99,0.0,0.0,0.0,0.0,6536.606749232124
100,0.0,0.0,0.0,0.0,6809.0594607089615
101,0.0,0.0,0.0,0.0,8366.691149811131
102,0.0,0.0,0.0,0.0,8987.771775705265
103,0.0,0.0,0.0,0.0,11870.872562180368
104,786824.6437508527,0.0,786824.6437508527,786824.6437508527,16968.322015371672
105,1365384.385141242,0.0,1365384.385141242,1365384.385141242,19264.8019906589
106,117630.99171522439,0.0,117630.99171522439,117630.99171522439,12207.027139855765
107,589795.6734462322,0.0,589795.6734462322,589795.6734462322,11585.758256105528
108,731891.4212093628,0.0,731891.4212093628,731891.4212093628,9759.850493594373
109,450458.11964796076,0.0,450458.11964796076,450458.11964796076,9404.082200947421
110,33446.93609766792,0.0,33446.93609766792,33446.93609766792,10804.403622961647
111,18609.3945952933,0.0,18609.3945952933,18609.3945952933,10882.380434409875
112,21786.49302954663,0.0,21786.49302954663,21786.49302954663,12913.76461725153
113,0.0,0.0,0.0,0.0,12892.391749166618
114,0.0,0.0,0.0,0.0,12892.370149780487
115,0.0,0.0,0.0,0.0,12892.348550466688
116,0.0,0.0,0.0,0.0,12892.326951225208
117,0.0,0.0,0.0,0.0,12819.386535140784
118,0.0,0.0,0.0,0.0,11985.734485038085
119,0.0,0.0,0.0,0.0,11147.894221704988
120,0.0,0.0,0.0,0.0,11557.529401103235
121,0.0,0.0,0.0,0.0,10955.42290837437
122,0.0,0.0,0.0,0.0,11004.793298765495
123,0.0,0.0,0.0,0.0,10867.416539369842
124,0.0,0.0,0.0,0.0,11305.169964929022
125,0.0,0.0,0.0,0.0,11410.106693279802
126,0.0,0.0,0.0,0.0,11263.117737371877
127,0.0,0.0,0.0,0.0,12189.114298402397
128,878212.4600892047,0.0,878212.4600892047,878212.4600892047,17255.239752069694
129,1483739.0346874096,0.0,1483739.0346874096,1483739.0346874096,15944.981919368063
130,155197.43386661567,0.0,155197.43386661567,155197.43386661567,7684.592019334379
131,1264503.9402440991,0.0,1264503.9402440991,1264503.9402440991,13120.514740335182
132,1212655.6216788557,0.0,1212655.6216788557,1212655.6216788557,11026.617950615615
133,1377915.2692698238,0.0,1377915.2692698238,1377915.2692698238,10967.569134318226
134,1482309.085055832,0.0,1482309.085055832,1482309.085055832,11117.452397563255
135,1245568.670080112,0.0,1245568.670080112,1245568.670080112,9676.61256695244
136,75353.62946937582,0.0,75353.62946937582,75353.62946937582,2852.1336094178046
137,0.0,0.0,0.0,0.0,4688.347387746209
138,0.0,0.0,0.0,0.0,3741.626718252364
139,0.0,0.0,0.0,0.0,4699.724070444177
140,0.0,0.0,0.0,0.0,4089.0872369857366
141,0.0,0.0,0.0,0.0,4904.38860510654
142,0.0,0.0,0.0,0.0,6272.633205962397
143,0.0,0.0,0.0,0.0,7675.288893243999
144,0.0,0.0,0.0,0.0,10645.794262469906
145,0.0,0.0,0.0,0.0,12632.246021977176
146,0.0,0.0,0.0,0.0,12868.176569529745
147,0.0,0.0,0.0,0.0,12891.365466635294
148,0.0,0.0,0.0,0.0,12891.343870685625
149,0.0,0.0,0.0,0.0,12891.322274808272
150,0.0,0.0,0.0,0.0,12891.300679003229
151,0.0,0.0,0.0,0.0,12891.2790832705
152,18784.069646081636,0.0,18784.069646081636,18784.069646081636,12996.50751009576
153,1471340.2467733622,0.0,1471340.2467733622,1471340.2467733622,20841.3307188543
154,150162.07758489533,0.0,150162.07758489533,150162.07758489533,13729.573336875006
155,493062.9129209607,0.0,493062.9129209607,493062.9129209607,15545.790999406838
156,674425.6510962119,0.0,674425.6510962119,674425.6510962119,16487.259313403905
157,575611.441078803,0.0,575611.441078803,575611.441078803,15940.726222251607
158,146097.4782693681,0.0,146097.4782693681,146097.4782693681,12943.361491701917
159,153133.590945748,0.0,153133.590945748,153133.590945748,12939.726130716595
160,9923.230779505107,0.0,9923.230779505107,9923.230779505107,12903.422948011752
161,0.0,0.0,0.0,0.0,12891.060591896841
162,0.0,0.0,0.0,0.0,12891.038996968016
163,0.0,0.0,0.0,0.0,12891.017402111498
164,0.0,0.0,0.0,0.0,12890.99580732729
165,0.0,0.0,0.0,0.0,12831.341974427287
166,0.0,0.0,0.0,0.0,12819.148969806265
167,0.0,0.0,0.0,0.0,11849.221949650426
168,0.0,0.0,0.0,0.0,9440.751450219284
169,0.0,0.0,0.0,0.0,10583.515543640044
170,0.0,0.0,0.0,0.0,9220.65896983111
171,0.0,0.0,0.0,0.0,6153.882197263983
172,0.0,0.0,0.0,0.0,5486.372817178714
173,0.0,0.0,0.0,0.0,6112.892131897268
174,0.0,0.0,0.0,0.0,5328.516238050835
175,0.0,0.0,0.0,0.0,7024.154028097489
176,220375.2586078023,0.0,220375.2586078023,220375.2586078023,9983.427513723806
177,148248.2732494388,0.0,148248.2732494388,148248.2732494388,8695.070833884054
178,1326624.3782990568,0.0,1326624.3782990568,1326624.3782990568,11140.848859579331
179,315048.7140658158,0.0,315048.7140658158,315048.7140658158,5310.32285416225
180,650132.1682402856,0.0,650132.1682402856,650132.1682402856,9849.543209179341
181,165372.04397640968,0.0,165372.04397640968,165372.04397640968,9613.365140303496
182,1362979.3821502535,0.0,1362979.3821502535,1362979.3821502535,17841.86817791059
183,1122142.7081187044,0.0,1122142.7081187044,1122142.7081187044,18763.429408485357
184,60665.611844779036,0.0,60665.611844779036,60665.611844779036,13230.065021868964
185,0.0,0.0,0.0,0.0,12890.536058898886
186,0.0,0.0,0.0,0.0,12890.514465726352
187,0.0,0.0,0.0,0.0,12890.49287262612
188,0.0,0.0,0.0,0.0,12890.471279598178
189,0.0,0.0,0.0,0.0,12890.449686642545
190,0.0,0.0,0.0,0.0,12890.428093759201
