,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,429438.47913725156,0.0,429438.47913725156,429438.47913725156,8566.403053572662
1,449272.8824444668,0.0,449272.8824444668,449272.8824444668,8933.504114356449
2,289793.81333131116,0.0,289793.81333131116,289793.81333131116,5931.918223405586
3,405464.8979400768,0.0,405464.8979400768,405464.8979400768,8120.432819982182
4,347220.8573845089,0.0,347220.8573845089,347220.8573845089,7026.460241447418
5,311625.8733811641,0.0,311625.8733811641,311625.8733811641,6349.99312158075
6,226849.3144288305,0.0,226849.3144288305,226849.3144288305,4711.329236380805
7,256352.90321806844,0.0,256352.90321806844,256352.90321806844,5286.362792061202
8,459832.8347898002,0.0,459832.8347898002,459832.8347898002,9128.198057673375
9,488086.20486906957,0.0,488086.20486906957,488086.20486906957,9647.179338409946
10,437021.1350308915,0.0,437021.1350308915,437021.1350308915,8706.798656970032
11,356869.6709892724,0.0,356869.6709892724,356869.6709892724,7208.680647431385
12,318784.05092354014,0.0,318784.05092354014,318784.05092354014,6486.461078564026
13,361547.88819616835,0.0,361547.88819616835,361547.88819616835,7296.887641012104
14,392281.7448270842,0.0,392281.7448270842,392281.7448270842,7874.015836727116
15,307348.409358349,0.0,307348.409358349,307348.409358349,6268.167043605305
16,22094.15336779621,0.0,22094.15336779621,22094.15336779621,472.4616380879323
17,41003.94906461468,0.0,41003.94906461468,41003.94906461468,806.3252838741379
18,54109.953783814395,0.0,54109.953783814395,54109.953783814395,1115.4146446624568
19,169452.24207855115,0.0,169452.24207855115,169452.24207855115,3246.3232483492184
20,132467.618546333,0.0,132467.618546333,132467.618546333,2828.273269012522
21,183523.95288145548,0.0,183523.95288145548,183523.95288145548,3855.863430343724
22,154177.12382439408,0.0,154177.12382439408,154177.12382439408,3268.2469862488224
23,266324.0707920894,0.0,266324.0707920894,266324.0707920894,5479.006820544758
24,347290.92032444204,0.0,347290.92032444204,347290.92032444204,7027.111580037694
25,375021.44434057304,0.0,375021.44434057304,375021.44434057304,7549.8120243387375
26,454971.1321485567,0.0,454971.1321485567,454971.1321485567,9037.750053655085
27,564687.8110632395,0.0,564687.8110632395,564687.8110632395,11038.03715923567
28,531331.9436328415,0.0,531331.9436328415,531331.9436328415,10434.665003110858
29,537194.8730740815,0.0,537194.8730740815,537194.8730740815,10540.991105007331
30,564884.4981889828,0.0,564884.4981889828,564884.4981889828,11041.527700161965
31,678361.0064374647,0.0,678361.0064374647,678361.0064374647,13065.159278920266
32,920280.84067456,0.0,920280.84067456,920280.84067456,17246.778548844726
33,756974.0085536838,0.0,756974.0085536838,756974.0085536838,14442.660512929171
34,560639.7954988547,0.0,560639.7954988547,560639.7954988547,10964.898702611206
35,498226.213237579,0.0,498226.213237579,498226.213237579,9831.66313908682
36,465781.4701711985,0.0,465781.4701711985,465781.4701711985,9236.737319822376
37,494318.9468318561,0.0,494318.9468318561,494318.9468318561,9760.202923799485
38,539370.3373008587,0.0,539370.3373008587,539370.3373008587,10580.257355593276
39,249504.2742866277,0.0,249504.2742866277,249504.2742866277,5152.745723675439
40,237306.9378235137,0.0,237306.9378235137,237306.9378235137,4915.176526410517
41,281432.7215291113,0.0,281432.7215291113,281432.7215291113,5770.363599749649
42,373817.16638034716,0.0,373817.16638034716,373817.16638034716,7526.966813438919
43,497441.79722901055,0.0,497441.79722901055,497441.79722901055,9817.19902000049
44,409722.57727010344,0.0,409722.57727010344,409722.57727010344,8198.739137729348
45,330393.3294787155,0.0,330393.3294787155,330393.3294787155,6706.560941074015
46,448620.89238023484,0.0,448620.89238023484,448620.89238023484,8920.24745958278
47,578399.8994594921,0.0,578399.8994594921,578399.8994594921,11284.538429387732
48,604260.7504506725,0.0,604260.7504506725,604260.7504506725,11748.319617352592
49,642502.3709763032,0.0,642502.3709763032,642502.3709763032,12429.968069175262
50,684292.4693606393,0.0,684292.4693606393,684292.4693606393,13169.360160591676
51,835356.9127822618,0.0,835356.9127822618,835356.9127822618,15797.374116401572
52,812334.2089924706,0.0,812334.2089924706,812334.2089924706,15401.146899570109
53,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16143.605089801666
54,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16143.578047481722
55,793501.705394562,0.0,793501.705394562,793501.705394562,15075.85966022593
56,872334.245755276,0.0,872334.245755276,872334.245755276,16430.500539816207
57,572108.1902252126,0.0,572108.1902252126,572108.1902252126,11171.156115601567
58,540084.2820598793,0.0,540084.2820598793,540084.2820598793,10592.837142658293
59,451091.55732569133,0.0,451091.55732569133,451091.55732569133,8965.662860452312
60,383044.4804753768,0.0,383044.4804753768,383044.4804753768,7699.9195022314325
61,342632.188655293,0.0,342632.188655293,342632.188655293,6938.495084477981
62,285709.94604076387,0.0,285709.94604076387,285709.94604076387,5852.446091849628
63,274927.6221515109,0.0,274927.6221515109,274927.6221515109,5644.784497731392
64,218574.31590525265,0.0,218574.31590525265,218574.31590525265,4548.278901023666
65,602009.8457806051,0.0,602009.8457806051,602009.8457806051,11707.710838964153
66,418471.4173422419,0.0,418471.4173422419,418471.4173422419,8361.264763657964
67,601173.2185564426,0.0,601173.2185564426,601173.2185564426,11692.69776759385
68,647576.0734056692,0.0,647576.0734056692,647576.0734056692,12519.648637964776
69,328114.88520099025,0.0,328114.88520099025,328114.88520099025,6662.9873621649185
70,482096.31927526195,0.0,482096.31927526195,482096.31927526195,9535.856795055828
71,407227.1504919485,0.0,407227.1504919485,407227.1504919485,8151.856115546813
72,578944.8296223261,0.0,578944.8296223261,578944.8296223261,11293.86474054734
73,733653.1376937578,0.0,733653.1376937578,733653.1376937578,14035.071860708507
74,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16143.060903355914
75,851166.0723403452,0.0,851166.0723403452,851166.0723403452,16067.955296101803
76,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16143.006835310745
77,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16142.979794994379
78,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16142.952754768574
79,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16142.925714633302
80,1071078.9276264522,0.0,1071078.9276264522,1071078.9276264522,19772.579975274122
81,1160000.0,0.0,1160000.0,1160000.0,21237.72168750348
82,812913.1904331353,0.0,812913.1904331353,812913.1904331353,15410.372435777792
83,642049.3445240263,0.0,642049.3445240263,642049.3445240263,12421.214548730812
84,639255.9039394066,0.0,639255.9039394066,639255.9039394066,12371.563600361984
85,649722.844555153,0.0,649722.844555153,649722.844555153,12557.37308301467
86,676089.9925903224,0.0,676089.9925903224,676089.9925903224,13023.892071445149
87,525039.0848932379,0.0,525039.0848932379,525039.0848932379,10319.353869795032
88,290480.87550080457,0.0,290480.87550080457,290480.87550080457,5943.848758131449
89,687505.2022728381,0.0,687505.2022728381,687505.2022728381,13225.115719071624
90,680231.8393127257,0.0,680231.8393127257,680231.8393127257,13096.888568543962
91,739038.0610424906,0.0,739038.0610424906,739038.0610424906,14128.689459882082
92,725782.6205267386,0.0,725782.6205267386,725782.6205267386,13897.016566443857
93,509709.038093925,0.0,509709.038093925,509709.038093925,10040.255216783855
94,270789.9023248531,0.0,270789.9023248531,270789.9023248531,5564.617356662532
95,315740.22819844144,0.0,315740.22819844144,315740.22819844144,6427.100496306975
96,166320.39450746033,0.0,166320.39450746033,166320.39450746033,3511.8404350552482
97,260826.2836962067,0.0,260826.2836962067,260826.2836962067,5371.893730892248
98,306393.6061198803,0.0,306393.6061198803,306393.6061198803,6248.616907813345
99,152124.18507614365,0.0,152124.18507614365,152124.18507614365,3226.394465883469
100,125377.08780064135,0.0,125377.08780064135,125377.08780064135,2683.044225763232
101,349520.23910415557,0.0,349520.23910415557,349520.23910415557,7068.327055385308
102,345877.17619213014,0.0,345877.17619213014,345877.17619213014,6999.422472445382
103,706197.3452485718,0.0,706197.3452485718,706197.3452485718,13553.528412012673
104,1029572.7480770219,0.0,1029572.7480770219,1029572.7480770219,19081.794976742945
105,716290.9795855822,0.0,716290.9795855822,716290.9795855822,13730.52886153975
106,314424.55382303934,0.0,314424.55382303934,314424.55382303934,6401.888777494607
107,313787.88262093137,0.0,313787.88262093137,313787.88262093137,6389.732455670339
108,319560.8134768877,0.0,319560.8134768877,319560.8134768877,6499.774348548032
109,692395.6879990194,0.0,692395.6879990194,692395.6879990194,13310.79604101425
110,700336.2459581529,0.0,700336.2459581529,700336.2459581529,13450.421869558742
111,472320.5065578215,0.0,472320.5065578215,472320.5065578215,9355.784074975114
112,787894.2760702765,0.0,787894.2760702765,787894.2760702765,14977.446699602195
113,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16142.044153234296
114,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16142.0171161418
115,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16141.99007913987
116,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16141.963042228464
117,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16141.936005407613
118,788298.080978771,0.0,788298.080978771,788298.080978771,14984.284954569983
119,734542.0390390767,0.0,734542.0390390767,734542.0390390767,14049.538257684193
120,782036.0390292992,0.0,782036.0390292992,782036.0390292992,14875.788148549691
121,731012.6506791702,0.0,731012.6506791702,731012.6506791702,13987.818863975652
122,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16141.801989803362
123,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16141.774953521819
124,827422.928821003,0.0,827422.928821003,827422.928821003,15659.145786066008
125,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16141.720964281203
126,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16141.693928270986
127,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16141.666892351317
128,874217.6631228892,0.0,874217.6631228892,874217.6631228892,16460.737427923443
129,1160000.0,0.0,1160000.0,1160000.0,21236.115681578805
130,990595.2175975697,0.0,990595.2175975697,990595.2175975697,18429.272722989965
131,745234.4691646977,0.0,745234.4691646977,745234.4691646977,14235.85702898078
132,562697.243993414,0.0,562697.243993414,562697.243993414,11000.201267639533
133,502906.33959592145,0.0,502906.33959592145,502906.33959592145,9915.494940583168
134,452372.9558826786,0.0,452372.9558826786,452372.9558826786,8988.157994956046
135,413522.9352197162,0.0,413522.9352197162,413522.9352197162,8268.21709094639
136,147551.9492680196,0.0,147551.9492680196,147551.9492680196,3133.838735810695
137,127093.05975915097,0.0,127093.05975915097,127093.05975915097,2717.95724779272
138,116000.0,0.0,116000.0,116000.0,1729.0479989099626
139,219650.1573053598,0.0,219650.1573053598,219650.1573053598,4332.377859043278
140,196573.53331915135,0.0,196573.53331915135,196573.53331915135,4113.86861287415
141,154192.00569538143,0.0,154192.00569538143,154192.00569538143,3267.753209812179
142,205283.6507519717,0.0,205283.6507519717,205283.6507519717,4285.962670412771
143,262264.10158432287,0.0,262264.10158432287,262264.10158432287,5399.165714445961
144,281460.42113250954,0.0,281460.42113250954,281460.42113250954,5769.710283140715
145,766610.437228677,0.0,766610.437228677,766610.437228677,14607.231861999477
146,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16140.816981403137
147,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16140.789948419953
148,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16140.762915527306
149,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16140.73588272517
150,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16140.708850013547
151,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16140.68181739246
152,1081810.7885472097,0.0,1081810.7885472097,1081810.7885472097,19947.64219480788
153,1160000.0,0.0,1160000.0,1160000.0,21234.85764300362
154,1053619.4893432711,0.0,1053619.4893432711,1053619.4893432711,19480.07829454658
155,1069073.4478083125,0.0,1069073.4478083125,1069073.4478083125,19736.545847636535
156,1082359.0178363603,0.0,1082359.0178363603,1082359.0178363603,19956.58160191251
157,1104942.008324235,0.0,1104942.008324235,1104942.008324235,20329.70159024068
158,866662.3176746157,0.0,866662.3176746157,866662.3176746157,16330.54119728832
159,825850.8015610323,0.0,825850.8015610323,825850.8015610323,15630.856354364445
160,801951.4402477352,0.0,801951.4402477352,801951.4402477352,15218.94401041816
161,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16140.407796141486
162,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16140.380764528458
163,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16140.353733005948
164,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16140.326701573922
165,855549.8795308614,0.0,855549.8795308614,855549.8795308614,16140.299670232444
166,704501.0835395866,0.0,704501.0835395866,704501.0835395866,13522.01101761538
167,463778.34559214517,0.0,463778.34559214517,463778.34559214517,9197.595681937757
168,350114.2358625174,0.0,350114.2358625174,350114.2358625174,7078.537631658
169,673689.0349727352,0.0,673689.0349727352,673689.0349727352,12979.395142670337
170,267489.18671649793,0.0,267489.18671649793,267489.18671649793,5499.9580747188875
171,475778.05208821275,0.0,475778.05208821275,475778.05208821275,9418.070807841594
172,527661.6223562951,0.0,527661.6223562951,527661.6223562951,10365.244401330881
173,116000.0,0.0,116000.0,116000.0,2046.962785590466
174,264502.5212939462,0.0,264502.5212939462,264502.5212939462,5254.447922363235
175,199586.38996541433,0.0,199586.38996541433,199586.38996541433,4173.122386205237
176,189195.3116478728,0.0,189195.3116478728,189195.3116478728,3967.2987677179844
177,287513.8541639842,0.0,287513.8541639842,287513.8541639842,5885.680001277091
178,355547.0750869288,0.0,355547.0750869288,355547.0750869288,7180.8945248604805
179,383648.8278567994,0.0,383648.8278567994,383648.8278567994,7709.343173073723
