,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,0.0,0.0,0.0,0.0,9605.536653704792
1,0.0,0.0,0.0,0.0,9896.412727925139
2,0.0,0.0,0.0,0.0,10726.814085017597
3,0.0,0.0,0.0,0.0,10607.022154243958
4,0.0,0.0,0.0,0.0,10742.603087048052
5,0.0,0.0,0.0,0.0,10423.972078172861
6,0.0,0.0,0.0,0.0,10210.38012733637
7,40829.45016178077,0.0,40829.45016178077,40829.45016178077,10840.568631363207
8,1176764.1971905257,0.0,1176764.1971905257,1176764.1971905257,17817.44888006423
9,1488322.2942354372,0.0,1488322.2942354372,1488322.2942354372,18914.1237915887
10,1100851.8712250763,0.0,1100851.8712250763,1100851.8712250763,14365.975022229151
11,412577.5624107713,0.0,412577.5624107713,412577.5624107713,9262.796722744813
12,959470.7794267661,0.0,959470.7794267661,959470.7794267661,11847.292492814917
13,1476296.4209664685,0.0,1476296.4209664685,1476296.4209664685,13619.290021805553
14,1521137.1274391995,0.0,1521137.1274391995,1521137.1274391995,12665.20374141871
15,964142.6907291552,0.0,964142.6907291552,964142.6907291552,8541.208652388112
16,0.0,0.0,0.0,0.0,1663.8749938291485
17,0.0,0.0,0.0,0.0,2018.182175318703
18,0.0,0.0,0.0,0.0,2488.6687935616287
19,0.0,0.0,0.0,0.0,3027.8892165738957
20,0.0,0.0,0.0,0.0,3597.4859298932142
21,0.0,0.0,0.0,0.0,4013.7916369778636
22,0.0,0.0,0.0,0.0,3597.756802908858
23,0.0,0.0,0.0,0.0,3150.8643269707745
24,0.0,0.0,0.0,0.0,3588.6451266211257
25,0.0,0.0,0.0,0.0,2940.8026855268245
26,0.0,0.0,0.0,0.0,2001.9779634484962
27,0.0,0.0,0.0,0.0,1841.5808874822524
28,0.0,0.0,0.0,0.0,1393.2068993789007
29,0.0,0.0,0.0,0.0,1250.0590857767354
30,0.0,0.0,0.0,0.0,1562.135984120652
31,48807.3633593122,0.0,48807.3633593122,48807.3633593122,1992.1740902835534
32,1195210.447773434,0.0,1195210.447773434,1195210.447773434,8682.18218855424
33,1468691.792195016,0.0,1468691.792195016,1468691.792195016,11283.659972195766
34,1375843.5206960735,0.0,1375843.5206960735,1375843.5206960735,10282.806933067412
35,1212040.5009640697,0.0,1212040.5009640697,1212040.5009640697,9450.89854773407
36,1235944.660012345,0.0,1235944.660012345,1235944.660012345,9669.850736951932
37,1406346.4335839998,0.0,1406346.4335839998,1406346.4335839998,11476.19350580849
38,1443607.553948201,0.0,1443607.553948201,1443607.553948201,12089.734511104672
39,906622.6624771035,0.0,906622.6624771035,906622.6624771035,9782.820420444388
40,0.0,0.0,0.0,0.0,4962.170763625399
41,0.0,0.0,0.0,0.0,7739.112619491164
42,0.0,0.0,0.0,0.0,9052.642769580072
43,0.0,0.0,0.0,0.0,11054.221435809171
44,0.0,0.0,0.0,0.0,10695.621784863184
45,0.0,0.0,0.0,0.0,11096.383909294967
46,0.0,0.0,0.0,0.0,12361.683202832106
47,0.0,0.0,0.0,0.0,13163.643243186687
48,0.0,0.0,0.0,0.0,13195.266032497246
49,0.0,0.0,0.0,0.0,13014.21049218415
50,0.0,0.0,0.0,0.0,13294.027064350188
51,0.0,0.0,0.0,0.0,11555.963966357349
52,0.0,0.0,0.0,0.0,9984.894358356367
53,0.0,0.0,0.0,0.0,8846.96138717246
54,0.0,0.0,0.0,0.0,9682.079267168363
55,27655.230619395046,0.0,27655.230619395046,27655.230619395046,10084.998533613456
56,38395.05988981974,0.0,38395.05988981974,38395.05988981974,10739.807225983925
57,58302.33286931267,0.0,58302.33286931267,58302.33286931267,7624.598645294101
58,173947.3662837537,0.0,173947.3662837537,173947.3662837537,6017.748000538738
59,167911.4981264286,0.0,167911.4981264286,167911.4981264286,6945.345302964538
60,170571.76288934823,0.0,170571.76288934823,170571.76288934823,7471.530206453724
