,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,454261.8140361828,438347.780788569,15914.033247613825,454261.8140361828,8366.316447324267
1,454262.5749771121,454262.5749771121,0.0,454262.5749771121,8366.316447324267
2,454263.33591804164,445355.20398888347,8908.131929158153,454263.33591804164,8366.316447324267
3,454264.09685897105,418260.5532034776,36003.54365549348,454264.09685897105,8366.316447324267
4,454264.85779990046,395408.1590766512,58856.69872324924,454264.85779990046,8366.316447324267
5,454265.6187408299,384466.79721744015,69798.8215233897,454265.6187408299,8366.316447324267
6,454266.37968175916,371679.39374984434,82586.98593191484,454266.37968175916,8366.316447324267
7,454267.1406226887,326561.31191232486,127705.82871036383,454267.1406226887,8366.316447324267
8,454267.9015636181,236496.41277910743,217771.48878451067,454267.9015636181,8366.316447324267
9,454268.6625045474,105014.43460067152,349254.2279038759,454268.6625045474,8366.316447324267
10,454269.42344547686,195879.6621277517,258389.76131772515,454269.42344547686,8366.316447324267
11,454270.1843864062,326182.48385836516,128087.70052804107,454270.1843864062,8366.316447324267
12,454270.9453273357,247183.06996170495,207087.87536563072,454270.9453273357,8366.316447324267
13,454271.7062682651,205226.19828636275,249045.50798190234,454271.7062682651,8366.316447324267
14,454272.46720919444,353346.8941720294,100925.57303716503,454272.46720919444,8366.316447324267
15,454273.22815012385,377999.8724411316,76273.35570899223,454273.22815012385,8366.316447324267
16,454273.98909105326,275921.2652630191,178352.72382803418,454273.98909105326,8366.316447324267
17,454274.7500319827,251037.35073517426,203237.39929680846,454274.7500319827,8366.316447324267
18,454275.51097291213,166442.16077764623,287833.3501952659,454275.51097291213,8366.316447324267
19,454276.2719138414,138933.4284661347,315342.8434477067,454276.2719138414,8366.316447324267
20,454277.03285477095,136102.1887712913,318174.84408347966,454277.03285477095,8366.316447324267
21,454277.79379570024,143945.7036254803,310332.09017021995,454277.79379570024,8366.316447324267
22,454278.55473662965,171389.1840439636,282889.37069266604,454278.55473662965,8366.316447324267
23,454279.3156775591,199621.2209661707,254658.09471138843,454279.3156775591,8366.316447324267
24,454280.0766184884,202956.8271710758,251323.2494474126,454280.0766184884,8366.316447324267
25,454280.83755941794,209592.23067174174,244688.6068876762,454280.83755941794,8366.316447324267
26,454281.5985003473,208695.32826605052,245586.27023429677,454281.5985003473,8366.316447324267
27,454282.35944127664,250410.86859725218,203871.49084402446,454282.35944127664,8366.316447324267
28,454283.1203822061,275335.5194591331,178947.600923073,454283.1203822061,8366.316447324267
29,454283.88132313546,294087.0045699073,160196.8767532281,454283.88132313546,8366.316447324267
30,454284.64226406487,276530.57143822906,177754.07082583584,454284.64226406487,8366.316447324267
31,454285.40320499433,241309.37746574183,212976.0257392525,454285.40320499433,8366.316447324267
32,454286.1641459237,205541.6188773265,248744.5452685972,454286.1641459237,8366.316447324267
33,454286.92508685315,119323.68259765214,334963.242489201,454286.92508685315,8366.316447324267
34,454287.6860277825,197644.31938567763,256643.36664210487,454287.6860277825,8366.316447324267
35,454288.44696871185,330186.26970433246,124102.17726437941,454288.44696871185,8366.316447324267
36,454289.20790964126,386974.578567203,67314.62934243825,454289.20790964126,8366.316447324267
37,454289.9688505707,399118.3512524859,55171.61759808479,454289.9688505707,8366.316447324267
38,454290.7297915002,405906.30272509827,48384.42706640193,454290.7297915002,8366.316447324267
39,454291.49073242955,339979.0564050006,114312.4343274289,454291.49073242955,8366.316447324267
40,454292.2516733589,435951.39536093274,18340.856312426164,454292.2516733589,8366.316447324267
41,454293.01261428825,421900.194680627,32392.8179336612,454293.01261428825,8366.316447324267
42,454293.77355521766,416099.1559641223,38194.617591095324,454293.77355521766,8366.316447324267
43,454294.53449614707,407055.4031479913,47239.131348155795,454294.53449614707,8366.316447324267
44,454295.2954370766,400264.57360300585,54030.721834070755,454295.2954370766,8366.316447324267
45,454296.05637800595,284963.83105404273,169332.2253239632,454296.05637800595,8366.316447324267
46,454296.81731893535,209165.37283226204,245131.4444866733,454296.81731893535,8366.316447324267
47,454297.5782598647,208002.2227449933,246295.3555148714,454297.5782598647,8366.316447324267
48,454298.3392007941,108065.23168869776,346233.10751209635,454298.3392007941,8366.316447324267
49,454299.1001417236,135680.2457092575,318618.8544324661,454299.1001417236,8366.316447324267
50,454299.8610826529,175713.16554247105,278586.6955401818,454299.8610826529,8366.316447324267
51,454300.62202358234,234858.8149018266,219441.80712175573,454300.62202358234,8366.316447324267
52,454301.38296451175,228317.37594321513,225984.00702129662,454301.38296451175,8366.316447324267
53,454302.14390544104,282389.111619939,171913.0322855021,454302.14390544104,8366.316447324267
54,454302.90484637057,277238.3027726603,177064.60207371027,454302.90484637057,8366.316447324267
55,454303.6657872999,319281.7171617283,135021.94862557162,454303.6657872999,8366.316447324267
56,454304.4267282293,318792.46914837963,135511.9575798496,454304.4267282293,8366.316447324267
57,454305.1876691588,217853.01174069056,236452.17592846823,454305.1876691588,8366.316447324267
58,454305.9486100882,237337.79411829985,216968.15449178836,454305.9486100882,8366.316447324267
59,454306.70955101756,262290.5849925712,192016.12455844635,454306.70955101756,8366.316447324267
60,454307.47049194697,253382.3397870426,200925.13070490435,454307.47049194697,8366.316447324267
61,454308.2314328763,168842.06395425223,285466.1674786241,454308.2314328763,8366.316447324267
62,454308.9923738058,77489.28134424571,376819.7110295601,454308.9923738058,8366.316447324267
63,454309.7533147351,81023.99933361058,373285.7539811245,454309.7533147351,8366.316447324267
64,454310.5142556646,29368.521111197013,424941.9931444676,454310.5142556646,8366.316447324267
65,454311.27519659395,29369.282052126364,424941.9931444676,454311.27519659395,8366.316447324267
66,454312.0361375233,29370.042993055715,424941.9931444676,454312.0361375233,8366.316447324267
67,454312.7970784528,29370.803933985182,424941.9931444676,454312.7970784528,8366.316447324267
68,454313.55801938206,29371.564874914475,424941.9931444676,454313.55801938206,8366.316447324267
69,454314.3189603115,29372.325815843884,424941.9931444676,454314.3189603115,8366.316447324267
70,454315.079901241,29373.08675677341,424941.9931444676,454315.079901241,8366.316447324267
71,454315.84084217035,29373.84769770276,424941.9931444676,454315.84084217035,8366.316447324267
72,454316.6017830998,72065.48025856167,382251.12152453815,454316.6017830998,8366.316447324267
73,454317.36272402917,29375.36957956158,424941.9931444676,454317.36272402917,8366.316447324267
74,454318.1236649585,53830.55327425746,400487.57039070106,454318.1236649585,8366.316447324267
75,454318.88460588804,136565.61502777063,317753.2695781174,454318.88460588804,8366.316447324267
76,454319.6455468174,163677.23196414538,290642.413582672,454319.6455468174,8366.316447324267
77,454320.4064877468,178324.19821448228,275996.2082732645,454320.4064877468,8366.316447324267
78,454321.16742867616,179836.16659684613,274485.00083183,454321.16742867616,8366.316447324267
79,454321.92836960556,186637.36102423113,267684.56734537444,454321.92836960556,8366.316447324267
80,454322.68931053503,154202.06918464287,300120.62012589216,454322.68931053503,8366.316447324267
81,454323.4502514643,70881.16657293116,383442.28367853316,454323.4502514643,8366.316447324267
82,454324.21119239373,110608.15278487321,343716.0584075205,454324.21119239373,8366.316447324267
83,454324.9721333232,245820.63865439774,208504.33347892546,454324.9721333232,8366.316447324267
84,454325.7330742526,236987.94651933515,217337.78655491746,454325.7330742526,8366.316447324267
85,454326.4940151821,199569.0441147839,254757.44990039818,454326.4940151821,8366.316447324267
86,454327.25495611137,160172.88599318662,294154.36896292475,454327.25495611137,8366.316447324267
87,454328.0158970408,229732.30855877273,224595.70733826805,454328.0158970408,8366.316447324267
88,454328.77683797025,304009.4853220023,150319.29151596793,454328.77683797025,8366.316447324267
89,454329.5377788996,181513.53085081582,272816.0069280838,454329.5377788996,8366.316447324267
90,454330.29871982906,116884.13383719523,337446.16488263384,454330.29871982906,8366.316447324267
91,454331.0596607584,181454.0177831038,272877.0418776546,454331.0596607584,8366.316447324267
92,454331.82060168777,399765.7025815636,54566.11802012417,454331.82060168777,8366.316447324267
93,454332.58154261723,361276.6318810244,93055.94966159285,454332.58154261723,8366.316447324267
94,454333.3424835466,382269.26012494386,72064.08235860271,454333.3424835466,8366.316447324267
95,454334.103424476,362862.53400662716,91471.5694178488,454334.103424476,8366.316447324267
96,454334.8643654054,382912.45440319274,71422.40996221267,454334.8643654054,8366.316447324267
97,454335.6253063348,279072.0258335541,175263.5994727807,454335.6253063348,8366.316447324267
98,454336.3862472642,309831.40730865835,144504.97893860584,454336.3862472642,8366.316447324267
99,454337.14718819363,334169.6591108334,120167.48807736018,454337.14718819363,8366.316447324267
