,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,0.0,0.0,0.0,0.0,2981.2677296744055
1,0.0,0.0,0.0,0.0,2718.9593475054726
2,0.0,0.0,0.0,0.0,3950.2053223468897
3,0.0,0.0,0.0,0.0,4752.90835520146
4,0.0,0.0,0.0,0.0,7173.090631700151
5,0.0,0.0,0.0,0.0,7569.100189614969
6,0.0,0.0,0.0,0.0,8330.508171801306
7,0.0,0.0,0.0,0.0,10348.55509670373
8,260039.3010490965,0.0,260039.3010490965,260039.3010490965,10908.877397042344
9,1350811.7138558794,0.0,1350811.7138558794,1350811.7138558794,10118.56216162718
10,332532.3029635248,0.0,332532.3029635248,332532.3029635248,4864.484615780888
11,519658.08583596617,0.0,519658.08583596617,519658.08583596617,3690.0492294802507
12,643474.0425822528,0.0,643474.0425822528,643474.0425822528,4141.557412702029
13,615626.5915826234,0.0,615626.5915826234,615626.5915826234,4762.163003304984
14,1275263.0169595296,0.0,1275263.0169595296,1275263.0169595296,5633.119512992188
15,759921.2591872296,0.0,759921.2591872296,759921.2591872296,5157.122343821663
16,0.0,0.0,0.0,0.0,7756.742200188398
17,0.0,0.0,0.0,0.0,15404.243649879283
18,0.0,0.0,0.0,0.0,17215.185269680842
19,0.0,0.0,0.0,0.0,18024.634316020438
20,0.0,0.0,0.0,0.0,18211.819689405234
21,0.0,0.0,0.0,0.0,18176.539785256038
22,0.0,0.0,0.0,0.0,18042.10070300505
23,0.0,0.0,0.0,0.0,17405.395379115536
24,0.0,0.0,0.0,0.0,17368.52471124588
25,0.0,0.0,0.0,0.0,17004.85899915153
26,0.0,0.0,0.0,0.0,16470.41029822507
27,0.0,0.0,0.0,0.0,14465.468449409822
28,0.0,0.0,0.0,0.0,13282.426319282751
29,0.0,0.0,0.0,0.0,13130.233614459583
30,0.0,0.0,0.0,0.0,12538.862632456712
31,0.0,0.0,0.0,0.0,12100.727734425258
32,189287.26829031933,0.0,189287.26829031933,189287.26829031933,11544.88691516698
33,1018569.788993877,0.0,1018569.788993877,1018569.788993877,10816.06583881972
34,294617.50816395023,0.0,294617.50816395023,294617.50816395023,7361.968794519953
35,407931.2645285422,0.0,407931.2645285422,407931.2645285422,4117.390419879184
36,208917.3804188682,0.0,208917.3804188682,208917.3804188682,2242.270304618526
37,109734.03553199365,0.0,109734.03553199365,109734.03553199365,1407.3427203610725
38,1126292.9299941156,0.0,1126292.9299941156,1126292.9299941156,1702.3364674621325
39,673518.7010197553,0.0,673518.7010197553,673518.7010197553,1220.3969675928963
40,0.0,0.0,0.0,0.0,483.17536730001893
41,0.0,0.0,0.0,0.0,922.3107149025958
42,0.0,0.0,0.0,0.0,2960.0019026268183
43,0.0,0.0,0.0,0.0,7757.6697547423355
44,0.0,0.0,0.0,0.0,10848.571439039244
45,0.0,0.0,0.0,0.0,9568.001388358112
46,0.0,0.0,0.0,0.0,10600.456591851822
47,0.0,0.0,0.0,0.0,10721.380016051171
48,0.0,0.0,0.0,0.0,10703.04644907985
49,0.0,0.0,0.0,0.0,13420.709245331484
50,0.0,0.0,0.0,0.0,12659.863688183787
51,0.0,0.0,0.0,0.0,11767.784931062874
52,0.0,0.0,0.0,0.0,10430.665015917175
53,0.0,0.0,0.0,0.0,11436.655280497114
54,0.0,0.0,0.0,0.0,10301.079936206497
55,0.0,0.0,0.0,0.0,6150.916021117418
56,219215.26473615132,0.0,219215.26473615132,219215.26473615132,5806.085870976036
57,1201752.665263779,0.0,1201752.665263779,1201752.665263779,5469.754042219681
58,1265371.7808259297,0.0,1265371.7808259297,1265371.7808259297,3239.784266656933
59,1045018.7862181317,0.0,1045018.7862181317,1045018.7862181317,3769.165464315139
60,952979.2206097867,0.0,952979.2206097867,952979.2206097867,5004.204790208866
61,1148592.2959390385,0.0,1148592.2959390385,1148592.2959390385,8293.658042572952
62,1284497.4758816953,0.0,1284497.4758816953,1284497.4758816953,10755.94679350578
63,822327.6680247481,0.0,822327.6680247481,822327.6680247481,14091.751012864122
64,0.0,0.0,0.0,0.0,17386.16956405032
65,0.0,0.0,0.0,0.0,18323.755002386388
66,0.0,0.0,0.0,0.0,18323.72430942208
67,0.0,0.0,0.0,0.0,18323.69361656058
68,0.0,0.0,0.0,0.0,18323.662923801872
69,0.0,0.0,0.0,0.0,18323.632231145977
70,0.0,0.0,0.0,0.0,18323.601538592877
71,0.0,0.0,0.0,0.0,18323.570846142582
72,0.0,0.0,0.0,0.0,18323.540153795086
73,0.0,0.0,0.0,0.0,18323.509461550388
74,0.0,0.0,0.0,0.0,18323.4787694085
75,0.0,0.0,0.0,0.0,18323.448077369398
76,0.0,0.0,0.0,0.0,18323.417385433095
77,0.0,0.0,0.0,0.0,18323.386693599597
78,0.0,0.0,0.0,0.0,18323.356001868888
79,0.0,0.0,0.0,0.0,18285.214760768595
80,241362.43287064604,0.0,241362.43287064604,241362.43287064604,18323.29462626351
81,1289694.2436035476,0.0,1289694.2436035476,1289694.2436035476,18323.26393484117
82,1326562.318227002,0.0,1326562.318227002,1326562.318227002,15270.267397935357
83,1081376.6522093122,0.0,1081376.6522093122,1081376.6522093122,7484.787383656128
84,975015.7732038011,0.0,975015.7732038011,975015.7732038011,5444.336036559322
85,1182779.3588638913,0.0,1182779.3588638913,1182779.3588638913,5849.973348789607
86,1338547.6559479707,0.0,1338547.6559479707,1338547.6559479707,5607.432301647513
87,912931.7311359291,0.0,912931.7311359291,912931.7311359291,5846.688088472568
88,0.0,0.0,0.0,0.0,10152.862340301936
89,0.0,0.0,0.0,0.0,13070.370816455139
90,0.0,0.0,0.0,0.0,12579.236410767264
91,0.0,0.0,0.0,0.0,10381.969033092944
92,0.0,0.0,0.0,0.0,9993.134451015218
93,0.0,0.0,0.0,0.0,7459.63633550677
94,0.0,0.0,0.0,0.0,2536.1060658094866
95,0.0,0.0,0.0,0.0,1950.3975656777675
96,0.0,0.0,0.0,0.0,3128.095791648049
97,0.0,0.0,0.0,0.0,5166.702500348308
98,0.0,0.0,0.0,0.0,9638.732904013501
99,0.0,0.0,0.0,0.0,11212.160443142464
100,0.0,0.0,0.0,0.0,13994.806176007061
101,0.0,0.0,0.0,0.0,16450.747872962645
102,0.0,0.0,0.0,0.0,16982.862580098983
103,0.0,0.0,0.0,0.0,17944.67528568785
104,239297.24112666748,0.0,239297.24112666748,239297.24112666748,18204.028927117186
105,222008.9487060842,0.0,222008.9487060842,222008.9487060842,16196.604695126684
106,359868.3397536205,0.0,359868.3397536205,359868.3397536205,7045.464178568446
107,585027.7038375249,0.0,585027.7038375249,585027.7038375249,1378.6519055915549
108,386089.57617572224,0.0,386089.57617572224,386089.57617572224,330.89064487107714
109,763961.6526554371,0.0,763961.6526554371,763961.6526554371,600.5134510229676
110,111618.06152340611,0.0,111618.06152340611,111618.06152340611,-0.0
111,904459.0711008307,0.0,904459.0711008307,904459.0711008307,1283.287317478458
112,0.0,0.0,0.0,0.0,3744.9443836839337
