,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,39254.6153441141,0.0,39254.6153441141,39254.6153441141,839.9264609572
1,0.0,0.0,0.0,0.0,-0.0
2,21973.392091923444,0.0,21973.392091923444,21973.392091923444,391.63745862740484
3,88808.74101688393,0.0,88808.74101688393,88808.74101688393,1660.9198456153695
4,145179.85685068148,0.0,145179.85685068148,145179.85685068148,2962.5514987117026
5,172170.42642436127,0.0,172170.42642436127,172170.42642436127,3629.6836879513426
6,203714.5652987233,0.0,203714.5652987233,203714.5652987233,4256.3246641927235
7,315007.7108188974,0.0,315007.7108188974,315007.7108188974,6414.381308951528
8,427315.11936361244,0.0,427315.11936361244,427315.11936361244,8526.719413021048
9,327183.98225769773,0.0,327183.98225769773,327183.98225769773,6646.256074367968
10,103317.70200833373,0.0,103317.70200833373,103317.70200833373,2215.71899337703
11,101142.15580385101,0.0,101142.15580385101,101142.15580385101,2170.99274270137
12,124589.68848105967,0.0,124589.68848105967,124589.68848105967,2606.1292559044164
13,150466.1807459146,0.0,150466.1807459146,150466.1807459146,3193.5400220336874
14,164601.2654909674,0.0,164601.2654909674,164601.2654909674,3478.007352870867
15,154274.92110657648,0.0,154274.92110657648,154274.92110657648,3270.368251866315
16,439936.71877581766,0.0,439936.71877581766,439936.71877581766,8760.42241045368
17,501318.91826546093,0.0,501318.91826546093,501318.91826546093,9888.761217128465
18,709988.9304816559,0.0,709988.9304816559,709988.9304816559,13622.369830969365
19,777845.6805043432,0.0,777845.6805043432,777845.6805043432,14806.024973050768
20,784831.2820725832,0.0,784831.2820725832,784831.2820725832,14927.076526755869
21,765485.8224198758,0.0,765485.8224198758,765485.8224198758,14591.400633170822
22,697793.7810419096,0.0,697793.7810419096,697793.7810419096,13408.058987498222
23,628156.6336214248,0.0,628156.6336214248,628156.6336214248,12175.707767946025
24,619930.6819702844,0.0,619930.6819702844,619930.6819702844,12029.06769551403
25,603565.2303229347,0.0,603565.2303229347,603565.2303229347,11736.670265117367
26,605779.466577932,0.0,605779.466577932,605779.466577932,11776.262286391027
27,502883.01074859366,0.0,502883.01074859366,502883.01074859366,9917.150727732711
28,441404.08227691345,0.0,441404.08227691345,441404.08227691345,8787.39076589011
29,395152.29599129595,0.0,395152.29599129595,395152.29599129595,7927.2590293982175
30,438460.04137039505,0.0,438460.04137039505,438460.04137039505,8732.881327682957
31,525340.8634901561,0.0,525340.8634901561,525340.8634901561,10326.125268067617
32,527403.3565840505,0.0,527403.3565840505,527403.3565840505,10363.578986407032
33,396474.26457519626,0.0,396474.26457519626,396474.26457519626,7951.91656848753
34,184066.7751402131,0.0,184066.7751402131,184066.7751402131,3866.699790354619
35,121141.34769886374,0.0,121141.34769886374,121141.34769886374,2596.6422028411903
36,103121.94688275523,0.0,103121.94688275523,103121.94688275523,2211.5935286060444
37,76800.09581598696,0.0,76800.09581598696,76800.09581598696,1648.4618917271428
38,49012.66512750052,0.0,49012.66512750052,49012.66512750052,1051.5402774021004
39,39432.07859004486,0.0,39432.07859004486,39432.07859004486,843.4278452679935
40,45240.77890398454,0.0,45240.77890398454,45240.77890398454,940.9069776389103
41,79902.28423636428,0.0,79902.28423636428,79902.28423636428,1591.9562063323435
42,94213.39005803513,0.0,94213.39005803513,94213.39005803513,1962.4237184481458
43,116523.19065878431,0.0,116523.19065878431,116523.19065878431,2415.298999207931
44,133275.78052404118,0.0,133275.78052404118,133275.78052404118,2844.565322390833
45,417686.15579910926,0.0,417686.15579910926,417686.15579910926,8346.814114374123
46,604657.5630671275,0.0,604657.5630671275,604657.5630671275,11755.253748326606
47,607528.5436033494,0.0,607528.5436033494,607528.5436033494,11806.576851208752
48,854041.6651965043,0.0,854041.6651965043,854041.6651965043,16117.641535878261
49,785926.507600083,0.0,785926.507600083,785926.507600083,14944.654841794501
50,687180.5156657818,0.0,687180.5156657818,687180.5156657818,13220.024718485934
51,541289.7909003308,0.0,541289.7909003308,541289.7909003308,10614.615630639193
52,557427.2173191983,0.0,557427.2173191983,557427.2173191983,10906.401491805578
53,424052.1463042385,0.0,424052.1463042385,424052.1463042385,8465.000087935688
54,436759.3517818186,0.0,436759.3517818186,436759.3517818186,8700.618718360225
55,333054.13994307665,0.0,333054.13994307665,333054.13994307665,6756.849787853101
56,239843.05121010626,0.0,239843.05121010626,239843.05121010626,4964.416245640401
57,108737.97695150264,0.0,108737.97695150264,108737.97695150264,2334.1493237670393
58,36785.364598306754,0.0,36785.364598306754,36785.364598306754,789.1412983969971
59,67501.01444006883,0.0,67501.01444006883,67501.01444006883,1340.6394603036013
60,122288.62967109603,0.0,122288.62967109603,122288.62967109603,2424.048674938944
61,252036.13880960588,0.0,252036.13880960588,252036.13880960588,5201.366876912952
62,430394.7720904876,0.0,430394.7720904876,430394.7720904876,8582.123213618446
63,619557.2158964701,0.0,619557.2158964701,619557.2158964701,12020.462415853342
64,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,19391.79037144305
65,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,19391.757892862595
66,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,19391.725414390912
67,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,19391.69293602799
68,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,19391.66045777384
69,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,19391.627979628458
70,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,19391.595501591844
71,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,19391.56302366399
72,942886.0997605274,0.0,942886.0997605274,942886.0997605274,17626.95350658059
73,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,19391.4984068067
74,987869.3402970626,0.0,987869.3402970626,987869.3402970626,18384.00675421076
75,783791.3982926895,0.0,783791.3982926895,783791.3982926895,14906.294748521066
76,716917.9535039244,0.0,716917.9535039244,716917.9535039244,13741.23886011336
77,680790.6470740525,0.0,680790.6470740525,680790.6470740525,13106.140763062098
