,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,1014194.8903047959,0.0,1014194.8903047959,1014194.8903047959,19314.508597123368
1,1014194.8903047959,0.0,1014194.8903047959,1014194.8903047959,19314.47623713473
2,1014194.8903047959,0.0,1014194.8903047959,1014194.8903047959,19314.443877254475
3,1014194.8903047959,0.0,1014194.8903047959,1014194.8903047959,19314.411517482593
4,1014194.8903047959,0.0,1014194.8903047959,1014194.8903047959,19314.379157819116
5,984182.8358000924,0.0,984182.8358000924,984182.8358000924,18792.48321948358
6,1014194.8903047959,0.0,1014194.8903047959,1014194.8903047959,19314.314524515856
7,972354.7756623676,0.0,972354.7756623676,972354.7756623676,18586.18558067087
8,1094869.4718479214,0.0,1094869.4718479214,1094869.4718479214,20707.146145736282
9,901990.9229967246,0.0,901990.9229967246,901990.9229967246,17352.51265633751
10,538175.9015419874,0.0,538175.9015419874,538175.9015419874,10768.626177249927
11,553842.7515760332,0.0,553842.7515760332,553842.7515760332,11060.06901036844
12,356883.9598215836,0.0,356883.9598215836,356883.9598215836,7332.772887097091
13,432307.23936477577,0.0,432307.23936477577,432307.23936477577,8777.112510211455
14,457169.98183154163,0.0,457169.98183154163,457169.98183154163,9248.35924297385
15,93722.22397834685,0.0,93722.22397834685,93722.22397834685,2011.161807887208
16,1014891.7758799057,0.0,1014891.7758799057,1014891.7758799057,18054.176838381904
17,317151.6936170787,0.0,317151.6936170787,317151.6936170787,6561.900397732819
18,254482.90509664465,0.0,254482.90509664465,254482.90509664465,5330.752215521577
19,419377.1139302551,0.0,419377.1139302551,419377.1139302551,8530.758090867384
20,676964.5525820283,0.0,676964.5525820283,676964.5525820283,13323.440121861335
21,869981.0741886222,0.0,869981.0741886222,869981.0741886222,16786.581672587217
22,507923.46669744345,0.0,507923.46669744345,507923.46669744345,10203.009477390864
23,403339.71238043526,0.0,403339.71238043526,403339.71238043526,8224.692941384137
24,517660.5437270297,0.0,517660.5437270297,517660.5437270297,10385.184021533603
25,503507.2898243124,0.0,503507.2898243124,503507.2898243124,10120.21319546025
26,629902.7189780409,0.0,629902.7189780409,629902.7189780409,12463.370487364396
27,616730.4454747753,0.0,616730.4454747753,616730.4454747753,12221.4883684782
28,664819.3911558754,0.0,664819.3911558754,664819.3911558754,13101.958599556516
