,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,454261.8140361828,454261.8140361828,0.0,454261.8140361828,8366.316447324267
1,454262.5749771121,454262.5749771121,0.0,454262.5749771121,8366.316447324267
2,454263.33591804164,454263.33591804164,0.0,454263.33591804164,8366.316447324267
3,454264.09685897105,454264.09685897105,0.0,454264.09685897105,8366.316447324267
4,454264.85779990046,454264.85779990046,0.0,454264.85779990046,8366.316447324267
5,454265.6187408299,454265.6187408299,0.0,454265.6187408299,8366.316447324267
6,454266.37968175916,454266.37968175916,0.0,454266.37968175916,8366.316447324267
7,454267.1406226887,434920.78125807457,19346.359364614098,454267.1406226887,8366.316447324267
8,454267.9015636181,353457.4297666805,100810.47179693756,454267.9015636181,8366.316447324267
9,454268.6625045474,260294.1776512578,193974.48485328958,454268.6625045474,8366.316447324267
10,454269.4234454769,358154.348603235,96115.07484224191,454269.4234454769,8366.316447324267
11,454270.1843864062,170406.13504468097,283864.04934172524,454270.1843864062,8366.316447324267
12,454270.9453273357,253713.7301109737,200557.21521636198,454270.9453273357,8366.316447324267
13,454271.7062682651,393667.2776082431,60604.42866002196,454271.7062682651,8366.316447324267
14,454272.46720919444,409015.4792546367,45256.98795455777,454272.46720919444,8366.316447324267
15,454273.22815012385,424995.36613395996,29277.8620161639,454273.22815012385,8366.316447324267
16,454273.98909105326,453549.2283827614,724.7607082918366,454273.98909105326,8366.316447324267
17,454274.7500319827,454274.7500319827,0.0,454274.7500319827,8366.316447324267
18,454275.51097291213,454275.51097291213,0.0,454275.51097291213,8366.316447324267
19,454276.2719138414,454276.2719138414,0.0,454276.2719138414,8366.316447324267
20,454277.03285477095,454277.03285477095,0.0,454277.03285477095,8366.316447324267
21,454277.79379570024,454277.79379570024,0.0,454277.79379570024,8366.316447324267
22,454278.55473662965,454278.55473662965,0.0,454278.55473662965,8366.316447324267
23,454279.3156775591,454279.3156775591,0.0,454279.3156775591,8366.316447324267
24,454280.0766184884,454280.0766184884,0.0,454280.0766184884,8366.316447324267
25,454280.83755941794,454280.83755941794,0.0,454280.83755941794,8366.316447324267
26,454281.5985003473,454281.5985003473,0.0,454281.5985003473,8366.316447324267
27,454282.35944127664,454282.35944127664,0.0,454282.35944127664,8366.316447324267
28,454283.1203822061,454283.1203822061,0.0,454283.1203822061,8366.316447324267
29,454283.88132313546,454283.88132313546,0.0,454283.88132313546,8366.316447324267
30,454284.6422640649,454284.6422640649,0.0,454284.6422640649,8366.316447324267
31,454285.40320499433,452714.94191298017,1570.4612920141938,454285.40320499433,8366.316447324267
32,454286.1641459237,449381.92060984945,4904.243536074232,454286.1641459237,8366.316447324267
33,454286.92508685315,396258.15967525146,58028.76541160167,454286.92508685315,8366.316447324267
34,454287.6860277825,377587.2965918031,76700.38943597942,454287.6860277825,8366.316447324267
35,454288.4469687118,311803.952333034,142484.4946356778,454288.4469687118,8366.316447324267
36,454289.20790964126,261774.67723061267,192514.5306790286,454289.20790964126,8366.316447324267
37,454289.9688505706,361931.2302278173,92358.73862275333,454289.9688505706,8366.316447324267
38,454290.72979150026,404856.1155339546,49434.61425754565,454290.72979150026,8366.316447324267
39,454291.4907324295,383539.3980316697,70752.09270075976,454291.4907324295,8366.316447324267
40,454292.2516733589,398325.7870292142,55966.464644144675,454292.2516733589,8366.316447324267
41,454293.01261428825,454293.01261428825,0.0,454293.01261428825,8366.316447324267
42,454293.77355521766,454293.77355521766,0.0,454293.77355521766,8366.316447324267
43,454294.53449614707,454294.53449614707,0.0,454294.53449614707,8366.316447324267
44,454295.2954370766,454295.2954370766,0.0,454295.2954370766,8366.316447324267
45,454296.05637800595,454296.05637800595,0.0,454296.05637800595,8366.316447324267
46,454296.81731893535,454296.81731893535,0.0,454296.81731893535,8366.316447324267
47,454297.5782598647,454297.5782598647,0.0,454297.5782598647,8366.316447324267
48,454298.3392007941,454298.3392007941,0.0,454298.3392007941,8366.316447324267
49,454299.1001417236,454299.1001417236,0.0,454299.1001417236,8366.316447324267
50,454299.8610826529,454299.8610826529,0.0,454299.8610826529,8366.316447324267
51,454300.62202358234,454300.62202358234,0.0,454300.62202358234,8366.316447324267
52,454301.38296451175,454301.38296451175,0.0,454301.38296451175,8366.316447324267
53,454302.1439054411,454302.1439054411,0.0,454302.1439054411,8366.316447324267
54,454302.9048463705,454302.9048463705,0.0,454302.9048463705,8366.316447324267
55,454303.6657872999,394218.326359183,60085.339428116895,454303.6657872999,8366.316447324267
56,454304.4267282293,363487.4934186904,90816.93330953889,454304.4267282293,8366.316447324267
57,454305.1876691588,172054.1818599524,282251.0058092064,454305.1876691588,8366.316447324267
58,454305.9486100882,228224.487917294,226081.4606927942,454305.9486100882,8366.316447324267
59,454306.70955101756,311612.4686715363,142694.24087948125,454306.70955101756,8366.316447324267
60,454307.47049194697,247447.03364177138,206860.43685017558,454307.47049194697,8366.316447324267
61,454308.2314328763,145810.08479130012,308498.1466415762,454308.2314328763,8366.316447324267
62,454308.9923738058,175897.20303778845,278411.78933601733,454308.9923738058,8366.316447324267
63,454309.7533147351,29175.702164441114,425134.05115029396,454309.7533147351,8366.316447324267
64,454310.51425566454,279064.91265316773,175245.60160249684,454310.51425566454,8366.316447324267
65,454311.27519659395,454311.27519659395,0.0,454311.27519659395,8366.316447324267
66,454312.0361375233,454312.0361375233,0.0,454312.0361375233,8366.316447324267
67,454312.7970784528,454312.7970784528,0.0,454312.7970784528,8366.316447324267
68,454313.55801938206,454313.55801938206,0.0,454313.55801938206,8366.316447324267
69,454314.3189603115,454314.3189603115,0.0,454314.3189603115,8366.316447324267
70,454315.079901241,454315.079901241,0.0,454315.079901241,8366.316447324267
71,454315.84084217035,454315.84084217035,0.0,454315.84084217035,8366.316447324267
72,454316.6017830998,454316.6017830998,0.0,454316.6017830998,8366.316447324267
73,454317.36272402917,454317.36272402917,0.0,454317.36272402917,8366.316447324267
74,454318.1236649585,454318.1236649585,0.0,454318.1236649585,8366.316447324267
75,454318.88460588804,454318.88460588804,0.0,454318.88460588804,8366.316447324267
76,454319.6455468174,454319.6455468174,0.0,454319.6455468174,8366.316447324267
77,454320.4064877468,454320.4064877468,0.0,454320.4064877468,8366.316447324267
78,454321.16742867616,454321.16742867616,0.0,454321.16742867616,8366.316447324267
