,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,0.0,0.0,0.0,0.0,15430.455487614332
1,0.0,0.0,0.0,0.0,15417.84678701518
2,0.0,0.0,0.0,0.0,15459.88635434984
3,0.0,0.0,0.0,0.0,15434.45409162013
4,0.0,0.0,0.0,0.0,15319.523783335773
5,0.0,0.0,0.0,0.0,14973.593255828835
6,0.0,0.0,0.0,0.0,15126.522919829216
7,71707.1562895234,0.0,71707.1562895234,71707.1562895234,15308.65990387017
8,373653.9673283109,0.0,373653.9673283109,373653.9673283109,17055.96039222433
9,718966.3643876951,0.0,718966.3643876951,718966.3643876951,17526.070780803282
10,356250.95591465366,0.0,356250.95591465366,356250.95591465366,11595.666877203977
11,1052147.818665788,0.0,1052147.818665788,1052147.818665788,12455.388192097073
12,743369.3855066857,0.0,743369.3855066857,743369.3855066857,8445.183046105383
13,224630.60684446504,0.0,224630.60684446504,224630.60684446504,9493.301868705088
14,167744.43037652285,0.0,167744.43037652285,167744.43037652285,9917.943172798914
15,108517.99512452006,0.0,108517.99512452006,108517.99512452006,2327.152246096008
16,2686.314596464417,0.0,2686.314596464417,2686.314596464417,13948.227537866795
17,0.0,0.0,0.0,0.0,7024.177675805446
18,0.0,0.0,0.0,0.0,5738.407837668606
19,0.0,0.0,0.0,0.0,9043.34667368371
20,0.0,0.0,0.0,0.0,13136.378247801771
21,0.0,0.0,0.0,0.0,14659.12309378226
22,0.0,0.0,0.0,0.0,10636.410375133166
23,0.0,0.0,0.0,0.0,8735.6142808495
24,0.0,0.0,0.0,0.0,10800.867014813124
25,0.0,0.0,0.0,0.0,10559.4338957353
26,0.0,0.0,0.0,0.0,12525.92159174972
27,0.0,0.0,0.0,0.0,12345.833565655932
28,0.0,0.0,0.0,0.0,12979.036191626295
29,0.0,0.0,0.0,0.0,13703.449508167821
30,0.0,0.0,0.0,0.0,11768.008332414955
31,5820.89144761087,0.0,5820.89144761087,5820.89144761087,11374.481283133853
32,18177.506992245868,0.0,18177.506992245868,18177.506992245868,15160.315086806018
33,215082.90575753112,0.0,215082.90575753112,215082.90575753112,11971.067643224187
34,284290.29804878257,0.0,284290.29804878257,284290.29804878257,8400.307346697187
35,528121.6235757855,0.0,528121.6235757855,528121.6235757855,8852.958422069116
