,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,133100.3596215997,0.0,133100.3596215997,133100.3596215997,2802.8368657484484
1,108426.7273066506,0.0,108426.7273066506,108426.7273066506,2283.760845875402
2,105741.32205761713,0.0,105741.32205761713,105741.32205761713,2223.5368645204694
3,113618.33385104235,0.0,113618.33385104235,113618.33385104235,2365.239624762452
4,65040.48591575581,0.0,65040.48591575581,65040.48591575581,1364.4921102006567
5,66627.45186037038,0.0,66627.45186037038,66627.45186037038,1381.6858019633478
6,65283.30206959561,0.0,65283.30206959561,65283.30206959561,1369.3126534558778
7,62845.29700860518,0.0,62845.29700860518,62845.29700860518,1320.8003203185606
8,36165.488979019,0.0,36165.488979019,36165.488979019,761.70956123014
9,22763.429329728307,0.0,22763.429329728307,22763.429329728307,473.5696188818547
10,0.0,0.0,0.0,0.0,-0.0
11,0.0,0.0,0.0,0.0,-0.0
12,12114.48522479367,0.0,12114.48522479367,12114.48522479367,212.55547111583223
13,4686.8061270615,0.0,4686.8061270615,4686.8061270615,-0.0
14,0.0,0.0,0.0,0.0,-0.0
15,0.0,0.0,0.0,0.0,-0.0
16,0.0,0.0,0.0,0.0,-0.0
17,0.0,0.0,0.0,0.0,-0.0
18,19810.09567971384,0.0,19810.09567971384,19810.09567971384,346.00290755680055
19,86138.08952017964,0.0,86138.08952017964,86138.08952017964,1574.8267957338228
20,87846.18370856222,0.0,87846.18370856222,87846.18370856222,1846.1924098592608
21,81837.50598351257,0.0,81837.50598351257,81837.50598351257,1719.6163725341382
22,15230.379515538703,0.0,15230.379515538703,15230.379515538703,316.7329701419831
23,0.0,0.0,0.0,0.0,-0.0
24,0.0,0.0,0.0,0.0,-0.0
25,0.0,0.0,0.0,0.0,-0.0
26,0.0,0.0,0.0,0.0,-0.0
27,0.0,0.0,0.0,0.0,-0.0
28,0.0,0.0,0.0,0.0,-0.0
29,0.0,0.0,0.0,0.0,-0.0
30,0.0,0.0,0.0,0.0,-0.0
31,0.0,0.0,0.0,0.0,-0.0
32,0.0,0.0,0.0,0.0,-0.0
33,0.0,0.0,0.0,0.0,-0.0
34,0.0,0.0,0.0,0.0,-0.0
35,0.0,0.0,0.0,0.0,-0.0
36,0.0,0.0,0.0,0.0,-0.0
37,0.0,0.0,0.0,0.0,-0.0
38,0.0,0.0,0.0,0.0,-0.0
39,0.0,0.0,0.0,0.0,-0.0
40,4782.187574530431,0.0,4782.187574530431,4782.187574530431,-0.0
