,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,114466.30927457575,0.0,114466.30927457575,114466.30927457575,3294.2632675187983
1,93246.98548371952,0.0,93246.98548371952,93246.98548371952,2712.059224682067
2,90937.53696955074,0.0,90937.53696955074,90937.53696955074,2648.132974706478
3,97711.76711189642,0.0,97711.76711189642,97711.76711189642,2835.2987792250747
4,55934.817887549994,0.0,55934.817887549994,55934.817887549994,1647.5429042884389
5,57299.60859991853,0.0,57299.60859991853,57299.60859991853,1686.0371207827748
6,56143.63977985222,0.0,56143.63977985222,56143.63977985222,1653.4322229709574
7,54046.955427400455,0.0,54046.955427400455,54046.955427400455,1590.616157104068
8,148474.55708773402,0.0,148474.55708773402,148474.55708773402,1725.8025358490147
9,266740.28514468495,0.0,266740.28514468495,266740.28514468495,2268.2610628939824
10,430754.9307908767,0.0,430754.9307908767,430754.9307908767,3025.8430553869293
11,409967.04591299087,0.0,409967.04591299087,409967.04591299087,2887.1197981065734
12,399097.9851646446,0.0,399097.9851646446,399097.9851646446,3031.2091672674005
13,396941.11222342413,0.0,396941.11222342413,396941.11222342413,2883.9882660987823
14,420163.9989254015,0.0,420163.9989254015,420163.9989254015,2955.2132698404266
15,437103.2271302187,0.0,437103.2271302187,437103.2271302187,3068.0773563649936
16,381741.16125773307,0.0,381741.16125773307,381741.16125773307,2697.9099790413434
17,60567.075380087204,0.0,60567.075380087204,60567.075380087204,433.3966852046711
18,17036.682284553903,0.0,17036.682284553903,17036.682284553903,498.59897363283875
19,74078.75698735449,0.0,74078.75698735449,74078.75698735449,1890.083667189208
20,75547.7179893635,0.0,75547.7179893635,75547.7179893635,2218.6546636659086
21,70380.25514582082,0.0,70380.25514582082,70380.25514582082,2073.125914448617
22,13098.126383363284,0.0,13098.126383363284,13098.126383363284,384.02151173288564
23,0.0,0.0,0.0,0.0,-0.0
24,0.0,0.0,0.0,0.0,-0.0
25,0.0,0.0,0.0,0.0,-0.0
26,0.0,0.0,0.0,0.0,-0.0
27,0.0,0.0,0.0,0.0,-0.0
28,0.0,0.0,0.0,0.0,-0.0
29,0.0,0.0,0.0,0.0,-0.0
30,0.0,0.0,0.0,0.0,-0.0
31,0.0,0.0,0.0,0.0,-0.0
32,133714.9875593429,0.0,133714.9875593429,133714.9875593429,797.1198388227534
33,419942.5822898196,0.0,419942.5822898196,419942.5822898196,2686.649248387969
34,320411.2102216836,0.0,320411.2102216836,320411.2102216836,2282.7722927269033
35,418698.77496390225,0.0,418698.77496390225,418698.77496390225,2944.945150276133
36,393118.9239921224,0.0,393118.9239921224,393118.9239921224,2773.8238127071013
37,395425.1312808482,0.0,395425.1312808482,395425.1312808482,2789.279426436526
38,420657.29950644355,0.0,420657.29950644355,420657.29950644355,2958.000972247986
39,440291.28050050436,0.0,440291.28050050436,440291.28050050436,3088.75877090855
40,390724.728827869,0.0,390724.728827869,390724.728827869,2843.624140852907
41,125038.40317867904,0.0,125038.40317867904,125038.40317867904,2144.12286229352
42,267459.6645272249,0.0,267459.6645272249,267459.6645272249,7302.437938392585
43,684910.76273206,0.0,684910.76273206,684910.76273206,17243.834825830214
44,730900.2282084842,0.0,730900.2282084842,730900.2282084842,17575.840413019032
45,431408.29332856997,0.0,431408.29332856997,431408.29332856997,11348.403529876907
46,586629.3858575163,0.0,586629.3858575163,586629.3858575163,15002.713248844522
47,446352.43204719154,0.0,446352.43204719154,446352.43204719154,11707.001006287392
48,531384.9603793258,0.0,531384.9603793258,531384.9603793258,13719.322452884624
49,452110.34271137515,0.0,452110.34271137515,452110.34271137515,11844.730372436372
50,362099.4913734773,0.0,362099.4913734773,362099.4913734773,9663.941128458431
51,275377.86650321423,0.0,275377.86650321423,275377.86650321423,7502.898890313079
52,279320.6495524606,0.0,279320.6495524606,279320.6495524606,7602.546117680361
53,233768.63527698859,0.0,233768.63527698859,233768.63527698859,6442.196920355083
54,205516.9716082353,0.0,205516.9716082353,205516.9716082353,5712.1057424831
55,228281.33178397053,0.0,228281.33178397053,228281.33178397053,6301.026314534353
56,251681.8307203551,0.0,251681.8307203551,251681.8307203551,5707.939435039102
57,308516.27285336726,0.0,308516.27285336726,308516.27285336726,3487.172492726526
58,310010.28815283277,0.0,310010.28815283277,310010.28815283277,2211.78445561535
59,263736.05704655166,0.0,263736.05704655166,263736.05704655166,1883.9326385198299
60,198666.01166675048,0.0,198666.01166675048,198666.01166675048,1419.8221639724536
61,207988.23383425744,0.0,207988.23383425744,207988.23383425744,1472.7766350423926
62,159243.5485070404,0.0,159243.5485070404,159243.5485070404,1218.6661565551333
63,313395.7477369135,0.0,313395.7477369135,313395.7477369135,2079.5972327985514
64,375340.01822076493,0.0,375340.01822076493,375340.01822076493,2654.1988723905793
65,69284.0592938162,0.0,69284.0592938162,69284.0592938162,492.8004385989967
66,0.0,0.0,0.0,0.0,-0.0
67,28786.052219971178,0.0,28786.052219971178,28786.052219971178,703.8573180277468
68,37389.76194510722,0.0,37389.76194510722,37389.76194510722,1052.5551920142443
69,57051.03692782536,0.0,57051.03692782536,57051.03692782536,1575.3841414521949
70,65040.964130137116,0.0,65040.964130137116,65040.964130137116,1871.1945257371713
71,72806.86216082955,0.0,72806.86216082955,72806.86216082955,2111.2435727231677
72,90228.97243595998,0.0,90228.97243595998,90228.97243595998,2627.481118819615
73,120511.44423583974,0.0,120511.44423583974,120511.44423583974,3457.2626574409155
74,104489.7007105939,0.0,104489.7007105939,104489.7007105939,3020.4513966897007
75,79048.58701918555,0.0,79048.58701918555,79048.58701918555,2316.165764497654
76,80462.7878072384,0.0,80462.7878072384,80462.7878072384,2355.7107246057603
77,73606.45185056239,0.0,73606.45185056239,73606.45185056239,2163.4599336836063
78,97439.0449831074,0.0,97439.0449831074,97439.0449831074,2826.6711991571806
79,140109.42838968572,0.0,140109.42838968572,140109.42838968572,3985.67447272803
80,136257.93272324672,0.0,136257.93272324672,136257.93272324672,3832.9386599410936
81,99742.94308561554,0.0,99742.94308561554,99742.94308561554,2648.843307948217
82,228677.4681015669,0.0,228677.4681015669,228677.4681015669,3406.8959028111885
