,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,0.0,0.0,0.0,0.0,14898.071510677019
1,0.0,0.0,0.0,0.0,14960.028864830574
2,0.0,0.0,0.0,0.0,14841.501537076721
3,0.0,0.0,0.0,0.0,12574.40206921
4,0.0,0.0,0.0,0.0,10077.119735216622
5,0.0,0.0,0.0,0.0,11929.845501700405
6,0.0,0.0,0.0,0.0,14099.71779981936
7,0.0,0.0,0.0,0.0,14070.807236013416
8,94070.31133638775,0.0,94070.31133638775,94070.31133638775,14641.830942032695
9,1254483.2939784373,0.0,1254483.2939784373,1254483.2939784373,14097.03382930053
10,1434030.657668943,0.0,1434030.657668943,1434030.657668943,11521.505710325482
11,1364221.4172617195,0.0,1364221.4172617195,1364221.4172617195,11894.388512491187
12,1316623.473663088,0.0,1316623.473663088,1316623.473663088,9622.78580916537
13,1158696.7532912698,0.0,1158696.7532912698,1158696.7532912698,7167.9165434576535
14,998063.9568640952,0.0,998063.9568640952,998063.9568640952,11887.362971898234
15,712540.0932889711,0.0,712540.0932889711,712540.0932889711,10789.965775542363
16,547847.6981367023,0.0,547847.6981367023,547847.6981367023,6713.919792255273
17,96884.90631775609,0.0,96884.90631775609,96884.90631775609,6396.131412240542
18,0.0,0.0,0.0,0.0,6451.0173450842085
19,0.0,0.0,0.0,0.0,7508.343954029011
20,0.0,0.0,0.0,0.0,7078.315138637157
21,0.0,0.0,0.0,0.0,9983.3334181181
22,0.0,0.0,0.0,0.0,11188.969457289117
23,0.0,0.0,0.0,0.0,11642.926004527555
24,0.0,0.0,0.0,0.0,11675.597172124257
25,0.0,0.0,0.0,0.0,11338.003405814428
26,0.0,0.0,0.0,0.0,10966.596761116467
27,0.0,0.0,0.0,0.0,9651.835998454237
28,0.0,0.0,0.0,0.0,8834.333670401114
29,0.0,0.0,0.0,0.0,8191.519236850435
30,0.0,0.0,0.0,0.0,6945.187919801709
31,0.0,0.0,0.0,0.0,4805.307160179755
32,223652.5196386549,0.0,223652.5196386549,223652.5196386549,2771.6934953650684
33,411094.8244980894,0.0,411094.8244980894,411094.8244980894,2086.175914517248
34,647787.6673209314,0.0,647787.6673209314,647787.6673209314,1904.0420322054
35,832706.8494870011,0.0,832706.8494870011,832706.8494870011,1818.5422428767233
36,891376.993886369,0.0,891376.993886369,891376.993886369,1027.047558142014
