,Solar Size [MW],Battery Charge Rate [MW],Battery Storage Hours,LCOH [$/kg],H2 Transmission Cost [$/kg],HPP CF,Electrolyzer CF
0,0,0,0.0,5.3896349229713785,0.15332155218366342,0.5555832647922829,0.5626976803569758
1,0,100,1.0,5.511642172423756,0.15332155218366342,0.5555832647922829,0.5626976803569758
2,0,100,4.0,5.694653046602319,0.15332155218366342,0.5555832647922829,0.5626976803569758
3,0,200,2.0,5.7554324491487625,0.15332155218366342,0.5555832647922829,0.5626976803569758
4,100,0,0.0,4.811047391091468,0.14991581025769396,0.5824636560505747,0.5920675578852979
5,100,100,1.0,4.917656796876861,0.14979337919567492,0.5830042949264179,0.5931801254092461
6,100,100,4.0,5.079713387041063,0.14964605703721223,0.5835959811009859,0.5945243992958138
7,100,200,2.0,5.1373050544176655,0.14964605703721223,0.5835959811009859,0.5945243992958138
8,250,0,0.0,4.8060846183448005,0.14602796494485634,0.619346727234104,0.6294521458885125
9,250,100,1.0,4.783961401827339,0.14583120442084094,0.6202044005136071,0.6314658481555919
10,250,100,4.0,4.866795725500464,0.14564748929692384,0.6211459262888552,0.6333576096306772
11,250,200,2.0,4.920373078118876,0.14564679052521837,0.6211513232521593,0.6333648265205262
12,500,0,0.0,4.851475175433492,0.14111118505582532,0.675184400743205,0.6838409089639352
13,500,100,1.0,4.826491280391825,0.14091818298118866,0.6761213116730946,0.6861593712387084
14,500,100,4.0,4.89809229093046,0.1407280849266031,0.6772852297152149,0.6884582215983407
15,500,200,2.0,4.946749714772784,0.14072094568893778,0.6773269847088352,0.6885448534969654
16,750,0,0.0,4.947456595607487,0.13758053586663344,0.7228116337405956,0.7288667650029783
17,750,100,1.0,4.922573903452237,0.13740228180068023,0.7237745204871745,0.7312960845332298
18,750,100,4.0,4.985749136568384,0.13721041524919977,0.7250694169796716,0.7339281742057383
19,750,200,2.0,5.031477412555048,0.13720485013722838,0.7250932521763379,0.7340044666956612
