,0
Useful Life,30.0
Wind Cost ($/kW),1349.0
Solar Cost ($/kW),1321.45
Electrolyzer Installed Cost ($/kW),1799.0604800000003
Wind capacity (MW),1049.3480229589206
Solar capacity (MW),500.0
Battery storage capacity (MW),100.0
Battery storage duration (hr),1.0
Electrolyzer capacity (MW),960.0
Total Electricity Production (kWh),5391218191.538355
Debt Equity,60.0
ATB Year,2020.0
Grid Total Emission Intensity (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity (kg-CO2/kg-H2),0.0
H2 PTC ($/kg),0.0
Ren PTC ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-2572406676.8332977
NPV Solar Expenses,-738225993.2162719
NPV HVDC Expenses,0.0
LCOE ($/MWh),58.21832721209183
Electricity CF (-),0.6410790277229023
LCOH ($/kg),4.819103957175567
Electrolyzer CF (-),0.6537274779842557
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),55824.0
Number of stack clusters (-),24.0
Hydrogen storage duration (hr),284.9572058020431
Hydrogen storage capacity (kg),6150066.270541709
Hydrogen storage CAPEX ($/kg),17.164317691925053
Hydrogen annual production (kg),100659048.75971535
Hydrogen production total CAPEX ($),4021770986.0805697
Hydrogen transmission total CAPEX ($),69631005.62661934
Steel Plant Total CAPEX ($),545209215.1819539
Ammonia Plant Total CAPEX ($),69329152.27623674
LCOH: Compression & storage ($/kg),0.10088997122787066
LCOH: Electrolyzer CAPEX ($/kg),1.9495923113650058
LCOH: Desalination CAPEX ($/kg),0.0011117174428401733
LCOH: Electrolyzer FOM ($/kg),0.12206386732110965
LCOH:Desalination FOM ($/kg),0.0023036256887996875
LCOH: Electrolyzer VOM ($/kg),0.06839103182941615
LCOH: Wind Plant CAPEX ($/kg),0.9987075258042608
LCOH: Wind Plant FOM ($/kg),0.4840806047580559
LCOH: Solar Plant CAPEX ($/kg),0.46615201286325947
LCOH: Solar Plant FOM ($/kg),0.11234882319350181
LCOH: Battery Storage CAPEX ($/kg),0.0520670756355648
LCOH: Battery Storage FOM ($/kg),0.018327460547481057
LCOH: Taxes and Finances ($/kg),0.29042804676882245
LCOH: Water consumption ($/kg),0.021398416886543526
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.1312414658430329
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),52.60619884735501
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),52.60619884735497
Steel Price with Integration ($/tonne),1145.0195537356296
Steel price: EAF and Casting CAPEX ($/tonne),7.352712809137524
Steel price: Shaft Furnace CAPEX ($/tonne),4.147456600030857
Steel price: Oxygen Supply CAPEX ($/tonne),0.5024690500428983
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2858154172179284
Steel price: Cooling Tower CAPEX ($/tonne),0.618708489847107
Steel price: Piping CAPEX ($/tonne),1.826797708972273
Steel price: Electrical & Instrumentation ($/tonne),1.217865140345564
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.753847764430413
Steel price: Miscellaneous CAPEX ($/tonne),1.2178656258124945
Steel price: Annual Operating Labor Cost ($/tonne),75.19990472290294
Steel price: Maintenance Labor Cost ($/tonne),5.158204145051215
Steel price: Administrative & Support Labor Cost ($/tonne),20.08952721698854
Steel price: Installation Cost ($/tonne),8.71237161209067
Steel price: Maintenance Materials ($/tonne),7.720000000000001
Steel price: Raw Water Withdrawal ($/tonne),0.47648790630000004
Steel price: Lime ($/tonne),3.1531490978224905
Steel price: Carbon ($/tonne),15.572229964837831
Steel price: Iron Ore ($/tonne),554.7201545355236
Steel price: Hydrogen ($/tonne),317.86809701530035
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),33.155801669508
Steel price: Slag Disposal ($/tonne),6.5600379
Steel price: Taxes ($/tonne),15.688318867387165
Steel price: Equipment Financing ($/tonne),59.44376543469864
Steel price: Remaining Financial ($/tonne),11.954123163502235
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1158.112421120109
(-) Steel price: BOS savings ($/tonne),6.026858165096562
Ammonia price: Air Separation by Cryogenic ($/kg),0.0019678455863622363
Ammonia price: Haber Bosch ($/kg),0.0016300537053258407
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006180945270194874
Ammonia price: Cooling Tower ($/kg),0.0004196233260347037
Ammonia price: Depreciable Nonequipment ($/kg),0.0022764307718301274
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006098158976460083
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),0.9507340471863192
Ammonia price: Electricity ($/kg),0.03197740536854939
Ammonia price: Cooling water ($/kg),5.580990977316858e-06
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.004218466696053637
Ammonia price: Equipment Financing ($/kg),0.018009988791274634
Ammonia price: Remaining Financial ($/kg),0.0041472287499434365
Ammonia price: Total ($/kg),1.0483121645338593
