,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,301155.1260566107,0.0,301155.1260566107,301155.1260566107,6384.759695252505
1,175199.88824763556,0.0,175199.88824763556,175199.88824763556,3837.0689307411794
2,240128.47464759278,0.0,240128.47464759278,240128.47464759278,5164.307288944106
3,199086.11884106294,0.0,199086.11884106294,199086.11884106294,4329.150584907728
4,296549.93397165666,0.0,296549.93397165666,296549.93397165666,6293.458753744902
5,237323.28061487898,0.0,237323.28061487898,237323.28061487898,5107.617450924991
6,267568.9959535601,0.0,267568.9959535601,267568.9959535601,5715.977169298488
7,346891.9838009811,0.0,346891.9838009811,346891.9838009811,7285.013135329051
8,385105.6826193859,0.0,385105.6826193859,385105.6826193859,8028.612018725406
9,361822.06687381206,0.0,361822.06687381206,361822.06687381206,7576.432788084056
10,160179.79964833372,0.0,160179.79964833372,160179.79964833372,3525.0509240772244
11,161742.36865593173,0.0,161742.36865593173,161742.36865593173,3557.595619626546
12,193042.56768393886,0.0,193042.56768393886,193042.56768393886,4205.027432494487
13,258057.23033683264,0.0,258057.23033683264,258057.23033683264,5525.3071704376625
14,287897.83428682154,0.0,287897.83428682154,287897.83428682154,6121.587132035526
15,303824.2145043029,0.0,303824.2145043029,303824.2145043029,6437.619567298918
16,350086.9506372892,0.0,350086.9506372892,350086.9506372892,7347.474095117435
17,573154.5323711495,0.0,573154.5323711495,573154.5323711495,11587.995092319834
18,682888.9719754938,0.0,682888.9719754938,682888.9719754938,13598.836227111056
19,669375.6473240108,0.0,669375.6473240108,669375.6473240108,13353.55849827815
20,768496.0608109891,0.0,768496.0608109891,768496.0608109891,15137.928181203977
21,821695.2107417913,0.0,821695.2107417913,821695.2107417913,16082.22725515164
22,894483.2619360061,0.0,894483.2619360061,894483.2619360061,17359.978913859668
23,876494.8966486391,0.0,876494.8966486391,876494.8966486391,17045.66374613215
24,742548.2575180692,0.0,742548.2575180692,742548.2575180692,14673.923603410736
25,785814.853300085,0.0,785814.853300085,785814.853300085,15446.225331473686
26,673744.6033896111,0.0,673744.6033896111,673744.6033896111,13432.776812010154
27,576486.7175221344,0.0,576486.7175221344,576486.7175221344,11649.540519955199
28,521535.400259378,0.0,521535.400259378,521535.400259378,10625.926777865963
29,475047.602008045,0.0,475047.602008045,475047.602008045,9750.222746158337
30,316835.1059483023,0.0,316835.1059483023,316835.1059483023,6694.693921809103
31,282940.41465025366,0.0,282940.41465025366,282940.41465025366,6022.853573719345
32,309774.05462418124,0.0,309774.05462418124,309774.05462418124,6555.271063406103
33,294663.66497709596,0.0,294663.66497709596,294663.66497709596,6255.972376399527
34,143713.08412468107,0.0,143713.08412468107,143713.08412468107,3180.459779186554
35,58654.75149920309,0.0,58654.75149920309,58654.75149920309,0.0
36,55860.928915112694,0.0,55860.928915112694,55860.928915112694,0.0
37,40690.35979737943,0.0,40690.35979737943,40690.35979737943,0.0
38,36509.99760428881,0.0,36509.99760428881,36509.99760428881,0.0
39,30080.217871273002,0.0,30080.217871273002,30080.217871273002,0.0
40,25775.598159908848,0.0,25775.598159908848,25775.598159908848,0.0
41,25327.200273308423,0.0,25327.200273308423,25327.200273308423,0.0
42,78580.4750803096,0.0,78580.4750803096,78580.4750803096,0.0
